KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker,Er_Laast,Status,Alltid_Q1Q2,Alltid_Q3Q4,Rang_Median_Heur,Rekkefolge_Klasse
4651,Stryn,Bergen,7377.0,7377.0,True,Ikke påbegynt,True,False,135.0,ekte_robust_tidlig
5058,Åfjord,Trondheim,8387.0,8387.0,False,Ikke påbegynt,True,False,136.0,ekte_robust_tidlig
3440,Øyer,Hamar,10070.0,10070.0,False,Ikke påbegynt,True,False,137.0,ekte_robust_tidlig
4221,Valle,Kristiansand,7136.0,7136.0,True,Ikke påbegynt,False,False,138.0,fleksibel_mellomgruppe
5001,Trondheim - Tråante,Trondheim,20525.0,20525.0,False,Ikke påbegynt,False,False,139.0,fleksibel_mellomgruppe
3303,Kongsberg,Oslo,18936.0,18936.0,False,Ikke påbegynt,True,False,140.0,ekte_robust_tidlig
4207,Flekkefjord,Kristiansand,10002.0,10002.0,True,Ikke påbegynt,False,False,141.0,fleksibel_mellomgruppe
1804,Bodø,Bodø,11982.0,11982.0,True,Ikke påbegynt,True,False,142.0,ekte_robust_tidlig
5055,Heim,Trondheim,10013.0,10013.0,False,Ikke påbegynt,False,False,143.0,fleksibel_mellomgruppe
3453,Øystre Slidre,Hamar,7995.0,7995.0,False,Ikke påbegynt,True,False,144.0,ekte_robust_tidlig
4617,Kvinnherad,Bergen,8939.0,8939.0,False,Ikke påbegynt,False,False,145.0,fleksibel_mellomgruppe
5038,Verdal,Trondheim,9686.0,7264.0,False,Påbegynt,False,False,146.0,fleksibel_mellomgruppe
3332,Sigdal,Oslo,17054.0,17054.0,False,Ikke påbegynt,False,False,147.0,fleksibel_mellomgruppe
4622,Kvam,Bergen,11908.0,11908.0,False,Ikke påbegynt,False,False,148.0,fleksibel_mellomgruppe
5622,Porsanger - Porsáŋgu - Porsanki,Tromsø,9568.0,9568.0,True,Ikke påbegynt,False,False,149.0,fleksibel_mellomgruppe
5026,Holtålen,Trondheim,6292.0,6292.0,False,Ikke påbegynt,True,False,150.0,ekte_robust_tidlig
1875,Hábmer - Hamarøy,Bodø,5093.0,5093.0,False,Ikke påbegynt,True,False,151.0,ekte_robust_tidlig
3446,Gran,Hamar,8906.0,8906.0,False,Ikke påbegynt,True,False,152.0,ekte_robust_tidlig
4611,Etne,Bergen,10118.0,10118.0,False,Ikke påbegynt,False,False,153.0,fleksibel_mellomgruppe
5032,Selbu,Trondheim,6104.0,6104.0,False,Ikke påbegynt,False,False,154.0,fleksibel_mellomgruppe
3226,Aurskog-Høland,Oslo,10975.0,10975.0,False,Ikke påbegynt,True,False,155.0,ekte_robust_tidlig
4624,Bjørnafjorden,Bergen,10297.0,10297.0,False,Ikke påbegynt,False,False,156.0,fleksibel_mellomgruppe
5045,Grong,Trondheim,4904.0,4904.0,False,Ikke påbegynt,False,False,157.0,fleksibel_mellomgruppe
