KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
3451,Nord-Aurdal,Hamar,13002.0,13002.0,38.72,2027-03-11,2033-11-10
3452,Vestre Slidre,Hamar,11716.0,11716.0,24.07,2026-08-10,2030-04-01
3453,Øystre Slidre,Hamar,7995.0,7995.0,28.78,2026-07-23,2029-10-29
3454,Vang,Hamar,8187.0,8187.0,35.62,2026-07-03,2029-05-08
3901,Horten,Skien,2273.0,2273.0,3.67,2027-03-17,2033-12-21
3903,Holmestrand,Skien,8664.0,8664.0,21.87,2027-03-01,2033-08-25
3905,Tønsberg,Skien,10065.0,10065.0,18.23,2027-03-03,2033-09-07
3907,Sandefjord,Skien,13753.0,13753.0,24.23,2027-02-23,2033-08-08
3909,Larvik,Skien,20251.0,20251.0,39.47,2027-01-22,2033-05-17
3911,Færder,Skien,5132.0,5132.0,6.28,2027-03-16,2033-12-19
4001,Porsgrunn,Skien,7351.0,7351.0,11.57,2027-03-12,2033-11-24
4003,Skien,Skien,11644.0,11644.0,31.73,2027-02-05,2033-06-27
4005,Notodden,Skien,8977.0,8977.0,30.73,2026-05-20,2027-09-22
4010,Siljan,Skien,2674.0,2674.0,8.78,2026-06-11,2028-07-04
4012,Bamble,Skien,5868.0,5868.0,10.83,2027-03-15,2033-12-01
4014,Kragerø,Skien,8153.0,8153.0,13.88,2027-03-10,2033-10-26
4016,Drangedal,Skien,9597.0,9597.0,32.68,2027-01-29,2033-05-30
4018,Nome,Skien,4661.0,4661.0,14.85,2027-03-08,2033-09-13
4020,Midt-Telemark,Skien,9207.0,0.0,0.0,2026-05-01,2026-11-24
4022,Seljord,Skien,9972.0,9972.0,27.38,2026-05-26,2027-12-23
4024,Hjartdal,Skien,8171.0,8171.0,23.9,2026-06-01,2028-03-02
4026,Tinn,Skien,13385.0,13385.0,58.88,2026-05-14,2027-05-21
4028,Kviteseid,Skien,5611.0,5611.0,20.42,2026-06-10,2028-06-20
4030,Nissedal,Skien,6540.0,6540.0,23.0,2026-06-05,2028-04-27
4032,Fyresdal,Skien,5047.0,5047.0,26.6,2027-02-18,2033-07-22
4034,Tokke,Skien,6401.0,6401.0,27.02,2027-02-11,2033-07-05
4036,Vinje,Skien,12380.0,12380.0,64.47,2027-01-14,2033-03-31
4201,Risør,Kristiansand,7458.0,7458.0,11.55,2026-06-24,2029-02-05
4202,Grimstad,Kristiansand,6512.0,6512.0,11.83,2026-06-22,2029-01-01
4203,Arendal,Kristiansand,18178.0,18178.0,21.03,2026-11-18,2032-04-06
4204,Kristiansand,Kristiansand,27939.0,27939.0,41.0,2026-11-04,2031-12-10
4205,Lindesnes,Kristiansand,30608.0,30608.0,56.22,2026-10-23,2031-08-21
4206,Farsund,Kristiansand,8160.0,8160.0,12.6,2026-06-17,2028-10-11
4207,Flekkefjord,Kristiansand,10002.0,10002.0,21.62,2026-07-23,2029-11-08
4211,Gjerstad,Kristiansand,5328.0,266.0,0.78,2026-06-29,2029-03-16
4212,Vegårshei,Kristiansand,8548.0,8548.0,19.25,2026-06-10,2028-06-30
4213,Tvedestrand,Kristiansand,8806.0,8806.0,14.6,2026-06-15,2028-08-23
4214,Froland,Kristiansand,6254.0,313.0,1.01,2026-06-26,2029-02-27
4215,Lillesand,Kristiansand,6111.0,6111.0,9.43,2026-06-26,2029-02-15
4216,Birkenes,Kristiansand,10577.0,10577.0,26.37,2026-06-04,2028-03-29
4217,Åmli,Kristiansand,8190.0,8190.0,31.8,2026-05-11,2027-04-15
4218,Iveland,Kristiansand,3446.0,689.0,2.01,2026-06-26,2029-02-20
4219,Evje og Hornnes,Kristiansand,7758.0,7758.0,20.05,2026-11-24,2032-05-10
4220,Bygland,Kristiansand,7574.0,7574.0,29.77,2026-05-27,2028-01-07
4221,Valle,Kristiansand,7136.0,7136.0,29.77,2026-07-17,2029-09-17
4222,Bykle,Kristiansand,4958.0,4958.0,23.13,2026-10-07,2031-03-31
4223,Vennesla,Kristiansand,10530.0,1053.0,2.02,2026-11-30,2032-07-22
4224,Åseral,Kristiansand,5558.0,5558.0,19.07,2026-11-30,2032-07-09
4225,Lyngdal,Kristiansand,13449.0,13449.0,27.52,2026-11-12,2032-02-09
4226,Hægebostad,Kristiansand,5244.0,0.0,0.0,2026-05-01,2026-11-30
4227,Kvinesdal,Kristiansand,10186.0,10186.0,29.9,2026-05-19,2027-08-10
4228,Sirdal,Kristiansand,8126.0,8126.0,31.2,2026-07-09,2029-06-21
4601,Bergen,Bergen,30466.0,30466.0,30.6,2027-04-07,2034-02-22
4602,Kinn,Bergen,9385.0,9385.0,22.67,2027-04-22,2034-04-10
4611,Etne,Bergen,10118.0,10118.0,24.95,2026-08-10,2030-04-12
4612,Sveio,Bergen,8328.0,8328.0,12.83,2027-05-07,2034-07-03
4613,Bømlo,Bergen,6759.0,2028.0,3.33,2027-05-11,2034-07-17
4614,Stord,Bergen,5301.0,5301.0,8.57,2027-05-10,2034-07-10
4615,Fitjar,Bergen,4648.0,0.0,0.0,2026-05-01,2026-12-04
4616,Tysnes,Bergen,7572.0,0.0,0.0,2026-05-01,2026-12-15
4617,Kvinnherad,Bergen,8939.0,8939.0,28.15,2026-07-29,2030-01-07
4618,Ullensvang,Bergen,18650.0,18650.0,71.77,2026-05-18,2027-07-28
4619,Eidfjord,Bergen,5017.0,5017.0,32.12,2026-07-03,2029-05-14
4620,Ulvik,Bergen,2743.0,2743.0,14.62,2026-08-25,2030-08-19
4621,Voss,Bergen,23191.0,23191.0,60.22,2026-06-11,2028-08-01
4622,Kvam,Bergen,11908.0,11908.0,25.12,2026-08-04,2030-02-26
4623,Samnanger,Bergen,2675.0,2675.0,7.62,2026-09-02,2030-10-14
4624,Bjørnafjorden,Bergen,10297.0,10297.0,19.98,2026-08-13,2030-05-30
4625,Austevoll,Bergen,2012.0,0.0,0.0,2026-05-01,2026-12-16
4626,Øygarden,Bergen,11226.0,11226.0,17.88,2026-08-21,2030-08-09
4627,Askøy,Bergen,5218.0,5218.0,7.28,2026-09-03,2030-12-02
4628,Vaksdal,Bergen,4528.0,4528.0,15.9,2027-03-11,2033-11-16
4629,Modalen,Bergen,1428.0,0.0,0.0,2026-05-01,2026-12-18
4630,Osterøy,Bergen,8960.0,8960.0,14.72,2027-03-15,2033-12-13
4631,Alver,Bergen,27783.0,27783.0,36.83,2027-03-08,2033-10-17
4632,Austrheim,Bergen,3305.0,3305.0,3.73,2026-09-04,2030-12-17
4633,Fedje,Bergen,778.0,0.0,0.0,2026-05-01,2026-12-18
4634,Masfjorden,Bergen,4590.0,4590.0,13.12,2027-03-17,2033-12-27
4635,Gulen,Bergen,4082.0,4082.0,12.15,2027-03-19,2033-12-30
4636,Solund,Bergen,1189.0,1189.0,4.42,2026-09-04,2030-12-13
4637,Hyllestad,Bergen,3011.0,3011.0,8.98,2026-09-01,2030-10-02
4638,Høyanger,Bergen,3476.0,3476.0,18.67,2027-05-05,2034-06-22
4639,Vik,Bergen,4624.0,4624.0,21.52,2027-04-27,2034-04-24
4640,Sogndal,Bergen,9640.0,9640.0,34.08,2026-06-29,2029-03-29
4641,Aurland,Bergen,4599.0,4599.0,29.27,2026-07-17,2029-09-21
4642,Lærdal,Bergen,3598.0,3598.0,23.97,2027-04-19,2034-03-16
4643,Årdal,Bergen,2758.0,2758.0,18.57,2026-08-18,2030-07-18
4644,Luster,Bergen,6200.0,4650.0,37.81,2026-06-19,2028-11-14
4645,Askvoll,Bergen,4575.0,4575.0,11.42,2026-08-31,2030-09-27
4646,Fjaler,Bergen,3672.0,3672.0,11.8,2026-08-27,2030-09-13
4647,Sunnfjord,Bergen,22959.0,22959.0,63.6,2026-05-29,2028-02-04
4648,Bremanger,Bergen,4648.0,4648.0,18.7,2027-04-30,2034-06-19
4649,Stad,Bergen,12853.0,12853.0,29.18,2026-07-23,2029-11-23
4650,Gloppen,Bergen,7841.0,7841.0,24.5,2027-04-13,2034-03-13
4651,Stryn,Bergen,7377.0,7377.0,30.58,2026-07-10,2029-06-29
5001,Trondheim - Tråante,Trondheim,20525.0,20525.0,29.77,2026-07-16,2029-09-07
5006,Steinkjer,Trondheim,15485.0,0.0,0.0,2026-05-01,2027-01-06
5007,Namsos - Nåavmesjenjaelmie,Trondheim,9057.0,0.0,0.0,2026-05-01,2027-01-18
5014,Frøya,Trondheim,6058.0,0.0,0.0,2026-05-01,2027-01-25
5020,Osen,Trondheim,2487.0,0.0,0.0,2026-05-01,2027-01-28
