KomNr,Kommune,Fylkesnr,Fylke,Kartkontor,Km_Kurve,ArealLand_Km2,Ber_Tidbruk_Min,Ber_Dagsverk,Status,Fremdrift_Prosent,Antall_Lenker,Gjenstaaende_Lenker,Geovekst_Prosjekter,Geovekst_Status,Er_Laast
3207,Nordre Follo,32,Akershus,Oslo,574.38,196.0,647,2.0,Ferdig,100.0,6990.0,0.0,,,False
3209,Ullensaker,32,Akershus,Oslo,666.12,250.0,765,2.0,Ikke påbegynt,0.0,5340.0,5340.0,,,False
3212,Nesodden,32,Akershus,Oslo,224.69,61.0,243,1.0,Ferdig,100.0,2953.0,0.0,,,False
3214,Frogn,32,Akershus,Oslo,284.07,85.0,312,1.0,Ferdig,100.0,4201.0,0.0,,,False
3216,Vestby,32,Akershus,Oslo,418.93,134.0,466,2.0,Ferdig,100.0,4345.0,0.0,,,False
3218,Ås,32,Akershus,Oslo,259.82,101.0,300,1.0,Ferdig,100.0,3084.0,0.0,,,False
3220,Enebakk,32,Akershus,Oslo,490.83,195.0,570,2.0,Ferdig,100.0,4093.0,0.0,,,False
3222,Lørenskog,32,Akershus,Oslo,170.12,67.0,197,1.0,Ikke påbegynt,0.0,2091.0,2091.0,,,False
3224,Rælingen,32,Akershus,Oslo,222.81,56.0,238,1.0,Ferdig,100.0,3352.0,0.0,,,False
3226,Aurskog-Høland,32,Akershus,Oslo,1678.31,1053.0,2202,5.0,Ikke påbegynt,0.0,10975.0,10975.0,,,False
3228,Nes,32,Akershus,Oslo,1250.62,612.0,1528,4.0,Ikke påbegynt,0.0,7813.0,7813.0,,,False
3230,Gjerdrum,32,Akershus,Oslo,184.59,82.0,220,1.0,Ferdig,100.0,1443.0,0.0,,,False
3232,Nittedal,32,Akershus,Oslo,623.5,179.0,680,2.0,Påbegynt,0.0,5357.0,5357.0,,,False
3234,Lunner,32,Akershus,Oslo,726.79,272.0,834,2.0,Ferdig,100.0,5579.0,0.0,,,False
3236,Jevnaker,32,Akershus,Oslo,463.54,194.0,545,2.0,Ferdig,100.0,3494.0,0.0,,,False
3238,Nannestad,32,Akershus,Oslo,722.65,324.0,864,2.0,Ferdig,100.0,4444.0,0.0,,,False
3240,Eidsvoll,32,Akershus,Oslo,830.41,386.0,1002,3.0,Ferdig,100.0,5707.0,0.0,,,False
3242,Hurdal,32,Akershus,Oslo,715.03,261.0,816,2.0,Ferdig,100.0,4543.0,0.0,,,False
3301,Drammen,33,Buskerud,Oslo,1077.76,305.0,1172,3.0,Ikke påbegynt,0.0,11937.0,11937.0,,,False
3303,Kongsberg,33,Buskerud,Oslo,2170.21,754.0,2452,6.0,Ikke påbegynt,0.0,18936.0,18936.0,,,False
3305,Ringerike,33,Buskerud,Oslo,3496.22,1422.0,4085,10.0,Ikke påbegynt,0.0,27311.0,27311.0,,,False
3310,Hole,33,Buskerud,Oslo,419.26,135.0,467,2.0,Ferdig,100.0,3102.0,0.0,,,False
3312,Lier,33,Buskerud,Oslo,822.18,282.0,926,3.0,Ikke påbegynt,0.0,6724.0,6724.0,,,False
3314,Øvre Eiker,33,Buskerud,Oslo,920.49,418.0,1104,3.0,Ikke påbegynt,0.0,6486.0,6486.0,,,False
3316,Modum,33,Buskerud,Oslo,1353.27,463.0,1524,4.0,Påbegynt,0.0,10613.0,10613.0,,,False
3318,Krødsherad,33,Buskerud,Oslo,837.06,340.0,978,3.0,Ferdig,100.0,7775.0,0.0,,,False
3320,Flå,33,Buskerud,Oslo,1065.49,671.0,1399,4.0,Ikke påbegynt,0.0,6856.0,6856.0,,,False
3322,Nesbyen,33,Buskerud,Oslo,1720.16,772.0,2057,5.0,Ikke påbegynt,0.0,11185.0,11185.0,,,False
3324,Gol,33,Buskerud,Oslo,1351.45,514.0,1556,4.0,Ikke påbegynt,0.0,9600.0,9600.0,,,False
