Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Middels_90,1135,500,313,484,662
Middels_90,1144,500,1022,1299,1627
Middels_90,1145,500,1018,1292,1617
Middels_90,1146,500,990,1240,1557
Middels_90,1149,500,1003,1264,1594
Middels_90,1151,500,1022,1299,1627
Middels_90,1160,500,961,1223,1529
Middels_90,1505,500,472,609,794
Middels_90,1506,500,305,1548,1943
Middels_90,1508,500,1153,1496,1872
Middels_90,1511,500,3,4,4
Middels_90,1514,500,4,5,5
Middels_90,1515,500,6,7,10
Middels_90,1516,500,7,10,12
Middels_90,1517,500,7,11,13
Middels_90,1520,500,13,17,20
Middels_90,1525,500,1057,1494,1868
Middels_90,1528,500,1208,1525,1901
Middels_90,1531,500,14,19,24
Middels_90,1532,500,17,20,26
Middels_90,1535,500,1264,1594,1958
Middels_90,1539,500,20,26,33
Middels_90,1547,500,480,616,797
Middels_90,1554,500,437,586,776
Middels_90,1557,500,396,550,742
Middels_90,1560,500,387,538,706
Middels_90,1563,500,210,326,1727
Middels_90,1566,500,221,351,550
Middels_90,1573,500,21,27,34
Middels_90,1576,500,339,508,685
Middels_90,1577,500,27,34,41
Middels_90,1578,500,264,1390,1809
Middels_90,1579,500,277,469,654
Middels_90,1580,500,1148,1516,1889
Middels_90,1804,500,352,804,1639
Middels_90,1806,500,257,368,691
Middels_90,1811,500,860,1152,1475
Middels_90,1812,500,1088,1391,1734
Middels_90,1813,500,842,1111,1463
Middels_90,1815,500,1126,1420,1762
Middels_90,1816,500,1068,1353,1684
Middels_90,1818,500,1144,1437,1785
Middels_90,1820,500,1063,1378,1746
Middels_90,1822,500,1180,1992,2526
Middels_90,1824,500,377,715,1113
Middels_90,1825,500,586,893,1222
Middels_90,1826,500,366,689,1018
Middels_90,1827,500,1622,2068,2569
Middels_90,1828,500,1641,2073,2569
Middels_90,1832,500,1656,2089,2588
Middels_90,1833,500,1651,2084,2583
Middels_90,1834,500,1658,2092,2594
Middels_90,1835,500,1147,1440,1791
Middels_90,1836,500,1062,1910,2484
Middels_90,1837,500,1657,2091,2593
Middels_90,1838,500,1020,1791,2519
Middels_90,1839,500,796,1092,1482
Middels_90,1840,500,320,696,1061
Middels_90,1841,500,703,1115,2342
Middels_90,1845,500,746,1091,2257
Middels_90,1848,500,818,1132,1459
Middels_90,1851,500,1040,1345,1686
Middels_90,1853,500,1041,1357,1713
Middels_90,1856,500,1144,1440,1791
Middels_90,1857,500,1144,1439,1791
Middels_90,1859,500,1103,1398,1749
Middels_90,1860,500,935,1263,1607
Middels_90,1865,500,992,1295,1642
Middels_90,1866,500,856,1203,1568
Middels_90,1867,500,1119,1392,1742
Middels_90,1868,500,28,35,45
Middels_90,1870,500,892,1203,1557
Middels_90,1871,500,724,1106,1461
Middels_90,1874,500,1136,1428,1774
Middels_90,1875,500,509,865,1172
Middels_90,3101,500,35,46,56
Middels_90,3103,500,1082,1396,1770
Middels_90,3105,500,845,1228,1659
Middels_90,3107,500,879,1238,1659
Middels_90,3110,500,1136,1429,1797
Middels_90,3112,500,38,47,59
Middels_90,3114,500,1014,1342,1722
Middels_90,3116,500,1145,1448,1824
Middels_90,3118,500,516,1019,1418
Middels_90,3120,500,1145,1447,1827
Middels_90,3122,500,39,48,61
Middels_90,3124,500,40,49,62
Middels_90,3201,500,1263,1600,1980
Middels_90,3203,500,1253,1583,1959
Middels_90,3205,500,844,1209,1617
Middels_90,3207,500,45,55,69
Middels_90,3209,500,972,1326,1712
Middels_90,3212,500,46,59,73
Middels_90,3214,500,48,61,76
Middels_90,3216,500,52,66,81
Middels_90,3218,500,54,68,83
Middels_90,3220,500,55,70,88
Middels_90,3222,500,1133,1436,1823
Middels_90,3224,500,59,74,90
Middels_90,3226,500,467,971,1406
Middels_90,3228,500,737,1131,1533
Middels_90,3230,500,60,75,91
Middels_90,3232,500,1012,1354,1727
Middels_90,3234,500,62,80,97
Middels_90,3236,500,66,82,102
Middels_90,3238,500,68,84,105
Middels_90,3240,500,70,90,111
Middels_90,3242,500,74,94,116
Middels_90,3301,500,816,1226,1645
Middels_90,3303,500,388,901,1369
Middels_90,3305,500,284,579,1069
Middels_90,3310,500,76,96,118
Middels_90,3312,500,979,1300,1664
Middels_90,3314,500,894,1224,1629
Middels_90,3316,500,678,1128,1557
Middels_90,3318,500,81,102,126
Middels_90,3320,500,776,1152,1575
Middels_90,3322,500,537,1003,1432
Middels_90,3324,500,770,1140,1552
Middels_90,3326,500,793,1152,1545
Middels_90,3328,500,374,837,1313
Middels_90,3330,500,348,818,1314
Middels_90,3332,500,464,950,1392
Middels_90,3334,500,88,110,137
Middels_90,3336,500,1056,1358,1719
Middels_90,3338,500,286,592,1039
Middels_90,3401,500,705,932,1216
Middels_90,3403,500,1612,2026,2502
Middels_90,3405,500,1419,1835,2320
Middels_90,3407,500,1441,1846,2301
Middels_90,3411,500,1601,2010,2479
Middels_90,3412,500,1608,2026,2512
Middels_90,3413,500,716,941,1223
Middels_90,3414,500,89,112,139
Middels_90,3415,500,94,117,145
Middels_90,3416,500,96,122,151
Middels_90,3417,500,98,125,154
Middels_90,3418,500,103,130,160
Middels_90,3419,500,1608,2023,2498
Middels_90,3420,500,1594,2010,2485
Middels_90,3421,500,1586,1998,2476
Middels_90,3422,500,1577,1981,2460
Middels_90,3423,500,1546,1931,2413
Middels_90,3424,500,944,1210,1641
Middels_90,3425,500,1551,1936,2426
Middels_90,3426,500,1557,1945,2414
Middels_90,3427,500,1013,1443,1957
Middels_90,3428,500,1120,1626,2168
Middels_90,3429,500,1559,1938,2422
Middels_90,3430,500,1563,1950,2433
Middels_90,3431,500,1140,1585,2142
Middels_90,3432,500,1112,1565,2117
Middels_90,3433,500,1234,1682,2181
Middels_90,3434,500,1210,1643,2174
Middels_90,3435,500,1118,1635,2166
Middels_90,3436,500,1137,1626,2197
Middels_90,3437,500,1127,1615,2202
Middels_90,3438,500,1280,1792,2274
Middels_90,3439,500,271,472,864
Middels_90,3440,500,387,773,1083
Middels_90,3441,500,286,616,969
Middels_90,3442,500,1150,1608,2023
Middels_90,3443,500,1307,1635,2034
Middels_90,3446,500,535,839,1137
Middels_90,3447,500,572,1576,1985
Middels_90,3448,500,1384,1746,2176
Middels_90,3449,500,297,641,978
Middels_90,3450,500,1472,1867,2366
Middels_90,3451,500,1144,1655,2244
Middels_90,3452,500,580,855,1158
Middels_90,3453,500,494,804,1119
Middels_90,3454,500,362,713,1040
Middels_90,3901,500,1440,1818,2251
Middels_90,3903,500,1382,1740,2168
Middels_90,3905,500,1396,1768,2175
Middels_90,3907,500,1392,1734,2166
Middels_90,3909,500,1353,1694,2114
Middels_90,3911,500,1437,1812,2243
Middels_90,4001,500,1409,1785,2229
Middels_90,4003,500,1363,1713,2110
Middels_90,4005,500,241,357,553
Middels_90,4010,500,356,490,698
Middels_90,4012,500,1427,1795,2247
Middels_90,4014,500,1420,1776,2216
Middels_90,4016,500,1356,1712,2105
Middels_90,4018,500,1410,1772,2222
Middels_90,4020,500,109,137,168
Middels_90,4022,500,244,383,587
Middels_90,4024,500,259,405,605
Middels_90,4026,500,203,263,385
Middels_90,4028,500,284,445,630
Middels_90,4030,500,264,404,612
Middels_90,4032,500,1367,1712,2145
Middels_90,4034,500,1356,1720,2146
Middels_90,4036,500,1312,1648,2050
Middels_90,4201,500,361,580,777
Middels_90,4202,500,397,578,782
Middels_90,4203,500,1103,1412,1761
