KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
4204,Kristiansand,Kristiansand,27939.0,27939.0,82.0,2027-01-18,2031-09-12
4205,Lindesnes,Kristiansand,30608.0,30608.0,112.43,2026-12-22,2031-06-18
4206,Farsund,Kristiansand,8160.0,8160.0,25.2,2026-08-14,2029-03-02
4207,Flekkefjord,Kristiansand,10002.0,10002.0,43.23,2026-11-16,2030-10-24
4211,Gjerstad,Kristiansand,5328.0,266.0,1.57,2026-09-08,2029-09-03
4212,Vegårshei,Kristiansand,8548.0,8548.0,38.5,2026-07-29,2028-10-20
4213,Tvedestrand,Kristiansand,8806.0,8806.0,29.2,2026-08-07,2029-01-12
4214,Froland,Kristiansand,6254.0,313.0,2.03,2026-09-08,2029-08-27
4215,Lillesand,Kristiansand,6111.0,6111.0,18.87,2026-09-07,2029-08-13
4216,Birkenes,Kristiansand,10577.0,10577.0,52.73,2026-07-16,2028-07-12
4217,Åmli,Kristiansand,8190.0,8190.0,63.6,2026-05-21,2027-06-14
4218,Iveland,Kristiansand,3446.0,689.0,4.01,2026-09-08,2029-08-16
4219,Evje og Hornnes,Kristiansand,7758.0,7758.0,40.1,2027-03-03,2032-08-23
4220,Bygland,Kristiansand,7574.0,7574.0,59.53,2026-06-30,2028-04-06
4221,Valle,Kristiansand,7136.0,7136.0,59.53,2026-10-19,2030-03-27
4222,Bykle,Kristiansand,4958.0,4958.0,46.27,2026-11-02,2030-07-03
4223,Vennesla,Kristiansand,10530.0,1053.0,4.05,2027-03-17,2032-10-18
4224,Åseral,Kristiansand,5558.0,5558.0,38.13,2027-03-16,2032-10-01
4225,Lyngdal,Kristiansand,13449.0,13449.0,55.03,2027-02-04,2032-01-19
4226,Hægebostad,Kristiansand,5244.0,0.0,0.0,2026-05-01,2027-01-04
4227,Kvinesdal,Kristiansand,10186.0,10186.0,59.8,2026-06-10,2027-10-26
4228,Sirdal,Kristiansand,8126.0,8126.0,62.4,2026-09-29,2029-12-07
4601,Bergen,Bergen,30466.0,30466.0,61.2,2027-05-20,2033-10-07
4602,Kinn,Bergen,9385.0,9385.0,45.33,2027-08-06,2034-07-20
4611,Etne,Bergen,10118.0,10118.0,49.9,2026-09-28,2029-11-27
4612,Sveio,Bergen,8328.0,8328.0,25.67,2027-09-09,2034-12-11
4613,Bømlo,Bergen,6759.0,2028.0,6.66,2027-09-16,2035-01-08
4614,Stord,Bergen,5301.0,5301.0,17.13,2027-09-14,2034-12-18
4615,Fitjar,Bergen,4648.0,0.0,0.0,2026-05-01,2027-01-11
4616,Tysnes,Bergen,7572.0,0.0,0.0,2026-05-01,2027-01-21
4617,Kvinnherad,Bergen,8939.0,8939.0,56.3,2026-09-02,2029-08-03
4618,Ullensvang,Bergen,18650.0,18650.0,143.53,2026-06-04,2027-10-12
4619,Eidfjord,Bergen,5017.0,5017.0,64.23,2026-08-19,2029-04-30
4620,Ulvik,Bergen,2743.0,2743.0,29.23,2026-10-30,2030-06-26
4621,Voss,Bergen,23191.0,23191.0,120.43,2026-08-04,2028-12-22
4622,Kvam,Bergen,11908.0,11908.0,50.23,2026-09-15,2029-09-28
4623,Samnanger,Bergen,2675.0,2675.0,15.23,2026-11-19,2030-11-01
4624,Bjørnafjorden,Bergen,10297.0,10297.0,39.97,2026-10-06,2030-02-13
4625,Austevoll,Bergen,2012.0,0.0,0.0,2026-05-01,2027-01-25
4626,Øygarden,Bergen,11226.0,11226.0,35.77,2026-10-23,2030-05-22
4627,Askøy,Bergen,5218.0,5218.0,14.57,2026-11-24,2030-11-27
4628,Vaksdal,Bergen,4528.0,4528.0,31.8,2027-03-25,2033-01-18
4629,Modalen,Bergen,1428.0,0.0,0.0,2026-05-01,2027-01-26
4630,Osterøy,Bergen,8960.0,8960.0,29.43,2027-09-16,2035-01-19
4631,Alver,Bergen,27783.0,27783.0,73.67,2027-03-17,2032-11-24
4632,Austrheim,Bergen,3305.0,3305.0,7.47,2026-11-26,2030-12-23
4633,Fedje,Bergen,778.0,0.0,0.0,2026-05-01,2027-01-27
