KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
4216,Birkenes,Kristiansand,10577.0,10577.0,26.37,2026-06-10,2027-11-02
4217,Åmli,Kristiansand,8190.0,8190.0,31.8,2026-05-12,2027-01-28
4218,Iveland,Kristiansand,3446.0,689.0,2.01,2026-07-08,2028-07-06
4219,Evje og Hornnes,Kristiansand,7758.0,7758.0,20.05,2026-12-04,2030-10-01
4220,Bygland,Kristiansand,7574.0,7574.0,29.77,2026-06-02,2027-08-24
4221,Valle,Kristiansand,7136.0,7136.0,29.77,2026-07-30,2028-11-09
4222,Bykle,Kristiansand,4958.0,4958.0,23.13,2026-10-08,2029-12-24
4223,Vennesla,Kristiansand,10530.0,1053.0,2.02,2026-12-11,2030-11-05
4224,Åseral,Kristiansand,5558.0,5558.0,19.07,2026-12-11,2030-10-25
4225,Lyngdal,Kristiansand,13449.0,13449.0,27.52,2026-11-20,2030-07-22
4226,Hægebostad,Kristiansand,5244.0,0.0,0.0,2026-05-01,2026-10-13
4227,Kvinesdal,Kristiansand,10186.0,10186.0,29.9,2026-05-22,2027-04-28
4228,Sirdal,Kristiansand,8126.0,8126.0,31.2,2026-07-20,2028-09-18
4601,Bergen,Bergen,30466.0,30466.0,30.6,2027-04-08,2032-04-19
4602,Kinn,Bergen,9385.0,9385.0,22.67,2027-05-05,2032-06-10
4611,Etne,Bergen,10118.0,10118.0,24.95,2026-08-21,2029-04-13
4612,Sveio,Bergen,8328.0,8328.0,12.83,2027-05-24,2032-07-07
4613,Bømlo,Bergen,6759.0,2028.0,3.33,2027-05-26,2032-07-19
4614,Stord,Bergen,5301.0,5301.0,8.57,2027-05-25,2032-07-13
4615,Fitjar,Bergen,4648.0,0.0,0.0,2026-05-01,2026-10-19
4616,Tysnes,Bergen,7572.0,0.0,0.0,2026-05-01,2026-10-26
4617,Kvinnherad,Bergen,8939.0,8939.0,28.15,2026-08-10,2029-01-31
4618,Ullensvang,Bergen,18650.0,18650.0,71.77,2026-05-20,2027-04-19
4619,Eidfjord,Bergen,5017.0,5017.0,32.12,2026-07-17,2028-09-11
4620,Ulvik,Bergen,2743.0,2743.0,14.62,2026-09-09,2029-08-07
4621,Voss,Bergen,23191.0,23191.0,60.22,2026-06-19,2028-02-03
4622,Kvam,Bergen,11908.0,11908.0,25.12,2026-08-14,2029-03-08
4623,Samnanger,Bergen,2675.0,2675.0,7.62,2026-09-18,2029-09-18
4624,Bjørnafjorden,Bergen,10297.0,10297.0,19.98,2026-08-27,2029-05-10
4625,Austevoll,Bergen,2012.0,0.0,0.0,2026-05-01,2026-10-27
4626,Øygarden,Bergen,11226.0,11226.0,17.88,2026-09-04,2029-07-02
4627,Askøy,Bergen,5218.0,5218.0,7.28,2026-09-22,2029-09-27
4628,Vaksdal,Bergen,4528.0,4528.0,15.9,2027-03-12,2032-01-07
4629,Modalen,Bergen,1428.0,0.0,0.0,2026-05-01,2026-10-28
4630,Osterøy,Bergen,8960.0,8960.0,14.72,2027-03-17,2032-01-27
4631,Alver,Bergen,27783.0,27783.0,36.83,2027-03-09,2031-12-22
4632,Austrheim,Bergen,3305.0,3305.0,3.73,2026-09-23,2029-10-03
4633,Fedje,Bergen,778.0,0.0,0.0,2026-05-01,2026-10-28
4634,Masfjorden,Bergen,4590.0,4590.0,13.12,2027-03-19,2032-02-13
4635,Gulen,Bergen,4082.0,4082.0,12.15,2027-03-24,2032-02-25
4636,Solund,Bergen,1189.0,1189.0,4.42,2026-09-22,2029-09-27
4637,Hyllestad,Bergen,3011.0,3011.0,8.98,2026-09-17,2029-09-14
4638,Høyanger,Bergen,3476.0,3476.0,18.67,2027-05-20,2032-06-30
4639,Vik,Bergen,4624.0,4624.0,21.52,2027-05-11,2032-06-15
4640,Sogndal,Bergen,9640.0,9640.0,34.08,2026-07-09,2028-08-04
4641,Aurland,Bergen,4599.0,4599.0,29.27,2027-04-08,2032-04-22
4642,Lærdal,Bergen,3598.0,3598.0,23.97,2027-04-29,2032-05-27
4643,Årdal,Bergen,2758.0,2758.0,18.57,2026-09-01,2029-06-14
4644,Luster,Bergen,6200.0,4650.0,37.81,2026-06-30,2028-04-28
4645,Askvoll,Bergen,4575.0,4575.0,11.42,2026-09-15,2029-08-27
4646,Fjaler,Bergen,3672.0,3672.0,11.8,2026-09-11,2029-08-17
4647,Sunnfjord,Bergen,22959.0,22959.0,63.6,2026-06-04,2027-09-15
4648,Bremanger,Bergen,4648.0,4648.0,18.7,2027-05-14,2032-06-18
4649,Stad,Bergen,12853.0,12853.0,29.18,2027-04-16,2032-05-05
4650,Gloppen,Bergen,7841.0,7841.0,24.5,2027-04-22,2032-05-25
4651,Stryn,Bergen,7377.0,7377.0,30.58,2026-07-24,2028-10-17
5001,Trondheim - Tråante,Trondheim,20525.0,20525.0,29.77,2026-07-31,2028-12-15
5006,Steinkjer,Trondheim,15485.0,0.0,0.0,2026-05-01,2026-11-12
5007,Namsos - Nåavmesjenjaelmie,Trondheim,9057.0,0.0,0.0,2026-05-01,2026-11-20
5014,Frøya,Trondheim,6058.0,0.0,0.0,2026-05-01,2026-11-26
5020,Osen,Trondheim,2487.0,0.0,0.0,2026-05-01,2026-11-27
5021,Oppdal,Trondheim,37049.0,37049.0,76.88,2026-05-15,2027-04-01
5022,Rennebu,Trondheim,9074.0,0.0,0.0,2026-05-01,2026-12-08
5025,Rosse - Røros,Trondheim,11912.0,11912.0,51.28,2026-06-08,2027-10-15
5026,Holtålen,Trondheim,6292.0,6292.0,28.25,2026-08-18,2029-03-22
5027,Midtre Gauldal,Trondheim,13652.0,13652.0,49.35,2027-01-11,2031-03-28
5028,Melhus,Trondheim,7720.0,7720.0,23.92,2027-01-15,2031-05-02
5029,Skaun,Trondheim,4079.0,4079.0,10.4,2027-01-18,2031-06-04
5031,Malvik,Trondheim,3146.0,0.0,0.0,2026-05-01,2026-12-10
5032,Selbu,Trondheim,6104.0,6104.0,27.87,2026-08-24,2029-04-19
5033,Tydal,Trondheim,9999.0,9999.0,32.18,2026-07-14,2028-08-15
5034,Meråker,Trondheim,7116.0,7116.0,30.3,2026-07-21,2028-10-02
5035,Stjørdal,Trondheim,13808.0,13808.0,37.83,2026-07-01,2028-06-01
5036,Frosta,Trondheim,2623.0,0.0,0.0,2026-05-01,2026-12-11
5037,Levanger,Trondheim,12304.0,0.0,0.0,2026-05-01,2026-12-24
5038,Verdal,Trondheim,9686.0,7264.0,28.41,2026-08-12,2029-02-08
5041,Snåase - Snåsa,Trondheim,5861.0,5861.0,41.1,2026-06-16,2027-12-22
5042,Lierne,Trondheim,2972.0,2972.0,40.82,2026-06-23,2028-02-25
5043,Raarvihke - Røyrvik,Trondheim,772.0,772.0,17.27,2026-09-14,2029-08-17
5044,Namsskogan,Trondheim,2245.0,2245.0,20.82,2026-09-02,2029-06-15
5045,Grong,Trondheim,4904.0,4904.0,25.7,2026-08-28,2029-05-15
5046,Høylandet,Trondheim,2199.0,2199.0,13.02,2026-09-22,2029-10-01
5047,Overhalla,Trondheim,3968.0,3968.0,16.88,2026-09-16,2029-08-29
5049,Flatanger,Trondheim,1418.0,1390.0,7.68,2026-09-23,2029-10-04
5052,Leka,Trondheim,743.0,0.0,0.0,2026-05-01,2026-12-24
5053,Inderøy,Trondheim,7306.0,7306.0,17.63,2026-09-09,2029-08-14
5054,Indre Fosen,Trondheim,9918.0,9918.0,36.0,2026-07-08,2028-07-17
5055,Heim,Trondheim,10013.0,10013.0,29.67,2026-08-06,2029-01-16
5056,Hitra,Trondheim,8759.0,8759.0,20.32,2026-09-07,2029-07-19
5057,Ørland,Trondheim,3888.0,0.0,0.0,2026-05-01,2026-12-29
5058,Åfjord,Trondheim,8387.0,8387.0,30.12,2026-07-27,2028-10-25
5059,Orkland,Trondheim,21540.0,21540.0,57.52,2026-05-28,2027-07-27
5060,Nærøysund,Trondheim,7867.0,7867.0,29.55,2026-05-01,2027-01-05
5061,Rindal,Trondheim,4368.0,4368.0,16.88,2026-09-18,2029-09-21
5501,Tromsø,Tromsø,27947.0,27947.0,63.6,2027-06-29,2032-10-22
5503,Harstad - Hárstták,Tromsø,16861.0,16861.0,27.28,2027-03-05,2031-11-26
5510,Kvæfjord,Tromsø,5849.0,0.0,0.0,2026-05-01,2027-01-11
5512,Dielddanuorri - Tjeldsund,Tromsø,8058.0,8058.0,24.27,2027-01-22,2031-06-19
5514,Ibestad,Tromsø,3259.0,3259.0,8.68,2027-02-09,2031-07-31
5516,Gratangen,Tromsø,2092.0,2092.0,7.82,2027-03-11,2032-01-02
5518,Loabák - Lavangen,Tromsø,1546.0,1546.0,7.17,2027-03-15,2032-01-08
5520,Bardu,Tromsø,6502.0,6502.0,43.93,2027-02-25,2031-10-09
