Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,5528,500,1255,1908,2611
Basis_85,MIP_vektet,5530,500,361,661,1284
Basis_85,MIP_vektet,5532,500,1250,1884,2569
Basis_85,MIP_vektet,5534,500,698,1274,1949
Basis_85,MIP_vektet,5536,500,919,1502,2216
Basis_85,MIP_vektet,5538,500,247,383,509
Basis_85,MIP_vektet,5540,500,249,388,514
Basis_85,MIP_vektet,5542,500,1254,1905,2615
Basis_85,MIP_vektet,5544,500,310,553,921
Basis_85,MIP_vektet,5546,500,562,1048,1651
Basis_85,MIP_vektet,5601,500,738,1481,2635
Basis_85,MIP_vektet,5603,500,429,753,1207
Basis_85,MIP_vektet,5605,500,318,528,879
Basis_85,MIP_vektet,5607,500,569,1163,1816
Basis_85,MIP_vektet,5610,500,360,565,846
Basis_85,MIP_vektet,5612,500,447,703,1160
Basis_85,MIP_vektet,5614,500,1088,1711,2356
Basis_85,MIP_vektet,5616,500,1157,1784,2432
Basis_85,MIP_vektet,5618,500,879,1492,2161
Basis_85,MIP_vektet,5620,500,978,1597,2197
Basis_85,MIP_vektet,5622,500,677,1186,2323
Basis_85,MIP_vektet,5624,500,411,755,1180
Basis_85,MIP_vektet,5626,500,250,388,515
Basis_85,MIP_vektet,5628,500,390,712,1265
Basis_85,MIP_vektet,5630,500,250,390,517
Basis_85,MIP_vektet,5632,500,251,391,521
Basis_85,MIP_vektet,5634,500,254,393,522
Basis_85,MIP_vektet,5636,500,564,1114,1743
Middels_90,MIP_vektet,0301,500,301,851,1951
Middels_90,MIP_vektet,1101,500,566,1181,1809
Middels_90,MIP_vektet,1103,500,418,985,1582
Middels_90,MIP_vektet,1106,500,901,1842,2747
Middels_90,MIP_vektet,1108,500,877,1853,2789
Middels_90,MIP_vektet,1111,500,569,1189,1825
Middels_90,MIP_vektet,1112,500,569,1186,1812
Middels_90,MIP_vektet,1114,500,564,1180,1813
Middels_90,MIP_vektet,1119,500,454,1017,1627
Middels_90,MIP_vektet,1120,500,557,1153,1789
Middels_90,MIP_vektet,1121,500,480,1048,1649
Middels_90,MIP_vektet,1122,500,425,943,1463
Middels_90,MIP_vektet,1124,500,891,1840,2751
Middels_90,MIP_vektet,1127,500,907,1846,2754
Middels_90,MIP_vektet,1130,500,478,1038,1614
Middels_90,MIP_vektet,1133,500,374,824,1376
Middels_90,MIP_vektet,1134,500,298,682,1153
Middels_90,MIP_vektet,1135,500,495,1064,1670
Middels_90,MIP_vektet,1144,500,907,1851,2764
Middels_90,MIP_vektet,1145,500,901,1845,2735
Middels_90,MIP_vektet,1146,500,874,1787,2629
Middels_90,MIP_vektet,1149,500,887,1805,2706
Middels_90,MIP_vektet,1151,500,907,1851,2764
Middels_90,MIP_vektet,1160,500,845,1759,2590
Middels_90,MIP_vektet,1505,500,530,1068,1685
Middels_90,MIP_vektet,1506,500,1031,2112,3153
Middels_90,MIP_vektet,1508,500,988,2017,2985
Middels_90,MIP_vektet,1511,500,3,4,5
Middels_90,MIP_vektet,1514,500,3,5,7
Middels_90,MIP_vektet,1515,500,4,10,13
Middels_90,MIP_vektet,1516,500,5,11,17
Middels_90,MIP_vektet,1517,500,6,12,19
Middels_90,MIP_vektet,1520,500,10,19,28
Middels_90,MIP_vektet,1525,500,987,1999,2951
Middels_90,MIP_vektet,1528,500,991,2033,3029
Middels_90,MIP_vektet,1531,500,11,21,33
Middels_90,MIP_vektet,1532,500,12,24,35
Middels_90,MIP_vektet,1535,500,1034,2139,3241
Middels_90,MIP_vektet,1539,500,14,31,46
Middels_90,MIP_vektet,1547,500,584,1475,3063
Middels_90,MIP_vektet,1554,500,494,1036,1662
Middels_90,MIP_vektet,1557,500,492,981,1617
Middels_90,MIP_vektet,1560,500,460,971,1554
Middels_90,MIP_vektet,1563,500,510,1964,2952
Middels_90,MIP_vektet,1566,500,368,789,1361
Middels_90,MIP_vektet,1573,500,16,33,48
Middels_90,MIP_vektet,1576,500,452,935,1480
Middels_90,MIP_vektet,1577,500,19,40,59
Middels_90,MIP_vektet,1578,500,969,1992,2950
Middels_90,MIP_vektet,1579,500,422,897,2543
Middels_90,MIP_vektet,1580,500,998,2017,3035
Middels_90,MIP_vektet,1804,500,173,388,866
Middels_90,MIP_vektet,1806,500,494,1152,1970
Middels_90,MIP_vektet,1811,500,318,866,1580
Middels_90,MIP_vektet,1812,500,720,1517,2293
Middels_90,MIP_vektet,1813,500,313,748,1480
Middels_90,MIP_vektet,1815,500,786,1574,2390
Middels_90,MIP_vektet,1816,500,695,1416,2139
Middels_90,MIP_vektet,1818,500,815,1611,2457
Middels_90,MIP_vektet,1820,500,705,1489,2278
Middels_90,MIP_vektet,1822,500,656,1390,2154
Middels_90,MIP_vektet,1824,500,640,1441,2288
Middels_90,MIP_vektet,1825,500,188,425,782
Middels_90,MIP_vektet,1826,500,320,687,1116
Middels_90,MIP_vektet,1827,500,793,1534,2369
Middels_90,MIP_vektet,1828,500,758,1579,2745
Middels_90,MIP_vektet,1832,500,871,1727,2609
Middels_90,MIP_vektet,1833,500,682,1425,2118
Middels_90,MIP_vektet,1834,500,888,1815,2786
Middels_90,MIP_vektet,1835,500,817,1621,2469
Middels_90,MIP_vektet,1836,500,619,1303,2042
Middels_90,MIP_vektet,1837,500,885,1774,2740
Middels_90,MIP_vektet,1838,500,536,1250,1995
Middels_90,MIP_vektet,1839,500,279,694,1417
Middels_90,MIP_vektet,1840,500,570,1440,2702
Middels_90,MIP_vektet,1841,500,236,647,1379
Middels_90,MIP_vektet,1845,500,243,618,1189
Middels_90,MIP_vektet,1848,500,305,803,1560
Middels_90,MIP_vektet,1851,500,639,1374,2127
Middels_90,MIP_vektet,1853,500,614,1440,2216
Middels_90,MIP_vektet,1856,500,822,1618,2468
Middels_90,MIP_vektet,1857,500,822,1616,2469
Middels_90,MIP_vektet,1859,500,777,1518,2363
Middels_90,MIP_vektet,1860,500,444,1139,1886
Middels_90,MIP_vektet,1865,500,535,1273,2047
Middels_90,MIP_vektet,1866,500,370,1022,1763
Middels_90,MIP_vektet,1867,500,762,1516,2295
Middels_90,MIP_vektet,1868,500,20,41,62
Middels_90,MIP_vektet,1870,500,367,997,1781
Middels_90,MIP_vektet,1871,500,249,714,1532
Middels_90,MIP_vektet,1874,500,811,1602,2428
Middels_90,MIP_vektet,1875,500,375,857,1526
Middels_90,MIP_vektet,3101,500,25,53,77
Middels_90,MIP_vektet,3103,500,817,1641,2519
Middels_90,MIP_vektet,3105,500,495,1335,2244
Middels_90,MIP_vektet,3107,500,445,1386,2334
Middels_90,MIP_vektet,3110,500,864,1678,2572
Middels_90,MIP_vektet,3112,500,26,55,82
Middels_90,MIP_vektet,3114,500,663,1574,2427
Middels_90,MIP_vektet,3116,500,866,1714,2579
Middels_90,MIP_vektet,3118,500,305,806,1803
Middels_90,MIP_vektet,3120,500,870,1713,2576
Middels_90,MIP_vektet,3122,500,27,56,84
Middels_90,MIP_vektet,3124,500,27,59,87
Middels_90,MIP_vektet,3201,500,1040,2109,3188
Middels_90,MIP_vektet,3203,500,974,2095,3163
Middels_90,MIP_vektet,3205,500,432,1282,2225
Middels_90,MIP_vektet,3207,500,31,66,96
Middels_90,MIP_vektet,3209,500,688,1545,2399
Middels_90,MIP_vektet,3212,500,32,68,101
Middels_90,MIP_vektet,3214,500,34,73,105
Middels_90,MIP_vektet,3216,500,37,75,112
Middels_90,MIP_vektet,3218,500,38,77,117
Middels_90,MIP_vektet,3220,500,39,82,123
Middels_90,MIP_vektet,3222,500,860,1697,2565
Middels_90,MIP_vektet,3224,500,40,84,126
Middels_90,MIP_vektet,3226,500,251,708,1645
Middels_90,MIP_vektet,3228,500,395,1091,2036
Middels_90,MIP_vektet,3230,500,41,87,129
Middels_90,MIP_vektet,3232,500,696,1592,2407
Middels_90,MIP_vektet,3234,500,45,91,137
Middels_90,MIP_vektet,3236,500,46,95,140
Middels_90,MIP_vektet,3238,500,47,98,147
Middels_90,MIP_vektet,3240,500,51,104,154
