KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
4026,Tinn,Skien,Hamar,True,58.88,13385.0,3,2026-08-15,14,2027-07-15
4028,Kviteseid,Skien,Stavanger,True,20.42,5611.0,3,2026-08-15,14,2027-07-15
4030,Nissedal,Skien,Stavanger,True,23.0,6540.0,3,2026-08-15,14,2027-07-15
4032,Fyresdal,Skien,Stavanger,True,26.6,5047.0,8,2027-01-15,27,2028-08-15
4034,Tokke,Skien,Tromsø,True,27.02,6401.0,8,2027-01-15,27,2028-08-15
4036,Vinje,Skien,Oslo,True,64.47,12380.0,8,2027-01-15,27,2028-08-15
4201,Risør,Kristiansand,Molde,True,11.55,7458.0,3,2026-08-15,14,2027-07-15
4202,Grimstad,Kristiansand,Bodø,True,11.83,6512.0,5,2026-10-15,22,2028-03-15
4203,Arendal,Kristiansand,Bodø,True,21.03,18178.0,5,2026-10-15,22,2028-03-15
4204,Kristiansand,Kristiansand,Bergen,True,41.0,27939.0,5,2026-10-15,22,2028-03-15
4205,Lindesnes,Kristiansand,Hamar,True,56.22,30608.0,5,2026-10-15,23,2028-04-15
4206,Farsund,Kristiansand,Kristiansand,False,12.6,8160.0,5,2026-10-15,23,2028-04-15
4207,Flekkefjord,Kristiansand,Bergen,True,21.62,10002.0,4,2026-09-15,18,2027-11-15
4211,Gjerstad,Kristiansand,Bergen,True,0.78,5328.0,5,2026-10-15,23,2028-04-15
4212,Vegårshei,Kristiansand,Molde,True,19.25,8548.0,4,2026-09-15,18,2027-11-15
4213,Tvedestrand,Kristiansand,Molde,True,14.6,8806.0,4,2026-09-15,18,2027-11-15
4214,Froland,Kristiansand,Bergen,True,1.01,6254.0,5,2026-10-15,23,2028-04-15
4215,Lillesand,Kristiansand,Stavanger,True,9.43,6111.0,5,2026-10-15,23,2028-04-15
4216,Birkenes,Kristiansand,Skien,True,26.37,10577.0,3,2026-08-15,14,2027-07-15
4217,Åmli,Kristiansand,Tromsø,True,31.8,8190.0,3,2026-08-15,14,2027-07-15
4218,Iveland,Kristiansand,Molde,True,2.01,3446.0,5,2026-10-15,23,2028-04-15
4219,Evje og Hornnes,Kristiansand,Oslo,True,20.05,7758.0,5,2026-10-15,23,2028-04-15
4220,Bygland,Kristiansand,Bergen,True,29.77,7574.0,3,2026-08-15,14,2027-07-15
4221,Valle,Kristiansand,Stavanger,True,29.77,7136.0,2,2026-07-15,9,2027-02-15
