KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
4602,Kinn,Bergen,Bergen,False,22.67,9385.0,1,30
4611,Etne,Bergen,Bergen,False,24.95,10118.0,3,59
4612,Sveio,Bergen,Bergen,False,12.83,8328.0,0,11
4613,Bømlo,Bergen,Bergen,False,3.33,6759.0,0,16
4614,Stord,Bergen,Bergen,False,8.57,5301.0,0,19
4617,Kvinnherad,Bergen,Stavanger,True,28.15,8939.0,5,90
4618,Ullensvang,Bergen,Bergen,False,71.77,18650.0,4,69
4619,Eidfjord,Bergen,Bergen,False,32.12,5017.0,4,80
4620,Ulvik,Bergen,Hamar,True,14.62,2743.0,5,97
4621,Voss,Bergen,Bergen,False,60.22,23191.0,3,53
4622,Kvam,Bergen,Bergen,False,25.12,11908.0,4,73
4623,Samnanger,Bergen,Trondheim,True,7.62,2675.0,5,97
4624,Bjørnafjorden,Bergen,Bergen,False,19.98,10297.0,3,58
4626,Øygarden,Bergen,Stavanger,True,17.88,11226.0,5,88
4627,Askøy,Bergen,Bergen,False,7.28,5218.0,5,94
4628,Vaksdal,Bergen,Bergen,False,15.9,4528.0,11,121
4630,Osterøy,Bergen,Trondheim,True,14.72,8960.0,10,120
4631,Alver,Bergen,Bodø,True,36.83,27783.0,10,120
4632,Austrheim,Bergen,Bergen,False,3.73,3305.0,5,96
4634,Masfjorden,Bergen,Bergen,False,13.12,4590.0,10,121
4635,Gulen,Bergen,Bergen,False,12.15,4082.0,10,121
4636,Solund,Bergen,Bodø,True,4.42,1189.0,5,98
4637,Hyllestad,Bergen,Bergen,False,8.98,3011.0,5,96
4638,Høyanger,Bergen,Skien,True,18.67,3476.0,1,34
4639,Vik,Bergen,Bergen,False,21.52,4624.0,2,49
4640,Sogndal,Bergen,Bergen,False,34.08,9640.0,0,9
4641,Aurland,Bergen,Stavanger,True,29.27,4599.0,2,49
4642,Lærdal,Bergen,Trondheim,True,23.97,3598.0,1,34
4643,Årdal,Bergen,Bergen,False,18.57,2758.0,5,97
4644,Luster,Bergen,Bergen,False,37.81,6200.0,2,48
4645,Askvoll,Bergen,Kristiansand,True,11.42,4575.0,5,95
4646,Fjaler,Bergen,Bergen,False,11.8,3672.0,5,96
4647,Sunnfjord,Bergen,Bergen,False,63.6,22959.0,1,26
4648,Bremanger,Bergen,Bergen,False,18.7,4648.0,2,49
4649,Stad,Bergen,Bergen,False,29.18,12853.0,1,29
4650,Gloppen,Bergen,Tromsø,True,24.5,7841.0,2,46
4651,Stryn,Bergen,Bergen,False,30.58,7377.0,0,15
5001,Trondheim - Tråante,Trondheim,Oslo,True,29.77,20525.0,6,99
5021,Oppdal,Trondheim,Trondheim,False,76.88,37049.0,3,52
5025,Rosse - Røros,Trondheim,Trondheim,False,51.28,11912.0,1,30
5026,Holtålen,Trondheim,Trondheim,False,28.25,6292.0,3,64
5027,Midtre Gauldal,Trondheim,Trondheim,False,49.35,13652.0,0,4
5028,Melhus,Trondheim,Trondheim,False,23.92,7720.0,0,13
5029,Skaun,Trondheim,Trondheim,False,10.4,4079.0,0,21
5032,Selbu,Trondheim,Kristiansand,True,27.87,6104.0,4,79
5033,Tydal,Trondheim,Trondheim,False,32.18,9999.0,2,44
5034,Meråker,Trondheim,Trondheim,False,30.3,7116.0,4,77
5035,Stjørdal,Trondheim,Trondheim,False,37.83,13808.0,3,57
5038,Verdal,Trondheim,Kristiansand,True,28.41,9686.0,4,75
5041,Snåase - Snåsa,Trondheim,Trondheim,False,41.1,5861.0,5,93
5042,Lierne,Trondheim,Hamar,True,40.82,2972.0,2,50
5043,Raarvihke - Røyrvik,Trondheim,Trondheim,False,17.27,772.0,5,98
5044,Namsskogan,Trondheim,Skien,True,20.82,2245.0,3,67
5045,Grong,Trondheim,Trondheim,False,25.7,4904.0,3,66
5046,Høylandet,Trondheim,Trondheim,False,13.02,2199.0,4,82
5047,Overhalla,Trondheim,Trondheim,False,16.88,3968.0,4,81
5049,Flatanger,Trondheim,Trondheim,False,7.68,1418.0,5,98
5053,Inderøy,Trondheim,Trondheim,False,17.63,7306.0,1,32
5054,Indre Fosen,Trondheim,Trondheim,False,36.0,9918.0,2,45
5055,Heim,Trondheim,Trondheim,False,29.67,10013.0,4,74
5056,Hitra,Trondheim,Trondheim,False,20.32,8759.0,5,91
5058,Åfjord,Trondheim,Kristiansand,True,30.12,8387.0,2,45
5059,Orkland,Trondheim,Trondheim,False,57.52,21540.0,0,2
