KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
4005,Notodden,Skien,8977.0,8977.0,46.1,2026-06-04,2027-05-06
4010,Siljan,Skien,2674.0,2674.0,13.18,2026-07-15,2027-12-31
4012,Bamble,Skien,5868.0,5868.0,16.25,2027-05-12,2031-09-24
4014,Kragerø,Skien,8153.0,8153.0,20.82,2027-05-03,2031-08-22
4016,Drangedal,Skien,9597.0,9597.0,49.02,2027-02-23,2030-11-19
4018,Nome,Skien,4661.0,4661.0,22.27,2027-04-28,2031-08-11
4020,Midt-Telemark,Skien,9207.0,0.0,0.0,2026-05-01,2026-10-08
4022,Seljord,Skien,9972.0,9972.0,41.08,2026-06-16,2027-08-03
4024,Hjartdal,Skien,8171.0,8171.0,35.85,2026-06-24,2027-09-14
4026,Tinn,Skien,13385.0,13385.0,88.33,2026-05-25,2027-02-25
4028,Kviteseid,Skien,5611.0,5611.0,30.62,2026-07-10,2027-12-16
4030,Nissedal,Skien,6540.0,6540.0,34.5,2026-07-03,2027-11-11
4032,Fyresdal,Skien,5047.0,5047.0,39.9,2027-03-29,2031-04-17
4034,Tokke,Skien,6401.0,6401.0,40.52,2027-03-17,2031-02-11
4036,Vinje,Skien,12380.0,12380.0,96.7,2027-01-26,2030-07-19
4201,Risør,Kristiansand,7458.0,7458.0,17.32,2026-08-06,2028-06-16
4202,Grimstad,Kristiansand,6512.0,6512.0,17.75,2026-07-30,2028-04-25
4203,Arendal,Kristiansand,18178.0,18178.0,31.55,2026-12-28,2030-03-26
4204,Kristiansand,Kristiansand,27939.0,27939.0,61.5,2026-12-02,2029-12-06
4205,Lindesnes,Kristiansand,30608.0,30608.0,84.33,2026-11-11,2029-09-18
4206,Farsund,Kristiansand,8160.0,8160.0,18.9,2026-07-24,2028-03-22
4207,Flekkefjord,Kristiansand,10002.0,10002.0,32.42,2026-09-24,2029-01-26
4211,Gjerstad,Kristiansand,5328.0,266.0,1.18,2026-08-12,2028-07-17
4212,Vegårshei,Kristiansand,8548.0,8548.0,28.88,2026-07-10,2027-12-24
4213,Tvedestrand,Kristiansand,8806.0,8806.0,21.9,2026-07-17,2028-02-04
4214,Froland,Kristiansand,6254.0,313.0,1.52,2026-08-12,2028-07-11
4215,Lillesand,Kristiansand,6111.0,6111.0,14.15,2026-08-11,2028-07-03
4216,Birkenes,Kristiansand,10577.0,10577.0,39.55,2026-07-01,2027-10-19
4217,Åmli,Kristiansand,8190.0,8190.0,47.7,2026-05-18,2027-01-28
4218,Iveland,Kristiansand,3446.0,689.0,3.01,2026-08-12,2028-07-05
4219,Evje og Hornnes,Kristiansand,7758.0,7758.0,30.07,2027-01-06,2030-04-10
4220,Bygland,Kristiansand,7574.0,7574.0,44.65,2026-06-17,2027-08-16
4221,Valle,Kristiansand,7136.0,7136.0,44.65,2026-09-14,2028-11-13
4222,Bykle,Kristiansand,4958.0,4958.0,34.7,2026-10-13,2029-03-22
4223,Vennesla,Kristiansand,10530.0,1053.0,3.04,2027-01-18,2030-06-20
4224,Åseral,Kristiansand,5558.0,5558.0,28.6,2027-01-15,2030-05-27
4225,Lyngdal,Kristiansand,13449.0,13449.0,41.27,2026-12-16,2030-02-08
4226,Hægebostad,Kristiansand,5244.0,0.0,0.0,2026-05-01,2026-10-13
4227,Kvinesdal,Kristiansand,10186.0,10186.0,44.85,2026-06-02,2027-04-28
4228,Sirdal,Kristiansand,8126.0,8126.0,46.8,2026-08-28,2028-09-11
4601,Bergen,Bergen,30466.0,30466.0,45.9,2027-04-23,2031-07-28
4602,Kinn,Bergen,9385.0,9385.0,34.0,2027-06-24,2032-02-05
4611,Etne,Bergen,10118.0,10118.0,37.42,2026-09-14,2028-11-22
4612,Sveio,Bergen,8328.0,8328.0,19.25,2027-07-22,2032-04-14
4613,Bømlo,Bergen,6759.0,2028.0,5.0,2027-07-27,2032-04-29
4614,Stord,Bergen,5301.0,5301.0,12.85,2027-07-26,2032-04-23
4615,Fitjar,Bergen,4648.0,0.0,0.0,2026-05-01,2026-10-19
4616,Tysnes,Bergen,7572.0,0.0,0.0,2026-05-01,2026-10-26
4617,Kvinnherad,Bergen,8939.0,8939.0,42.23,2026-08-25,2028-08-25
4618,Ullensvang,Bergen,18650.0,18650.0,107.65,2026-05-28,2027-04-19
4619,Eidfjord,Bergen,5017.0,5017.0,48.17,2026-08-13,2028-07-20
4620,Ulvik,Bergen,2743.0,2743.0,21.93,2026-10-12,2029-03-19
4621,Voss,Bergen,23191.0,23191.0,90.33,2026-07-15,2028-01-24
