KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
3440,Øyer,Hamar,Skien,True,31.8,10070.0,2,2026-07-15,44,2030-01-15
3441,Gausdal,Hamar,Hamar,False,46.2,12287.0,2,2026-07-15,41,2029-10-15
3442,Østre Toten,Hamar,Hamar,False,19.78,4326.0,1,2026-06-15,34,2029-03-15
3443,Vestre Toten,Hamar,Hamar,False,10.07,3356.0,1,2026-06-15,35,2029-04-15
3446,Gran,Hamar,Hamar,False,24.92,8906.0,3,2026-08-15,61,2031-06-15
3447,Søndre Land,Hamar,Hamar,False,26.15,7653.0,0,2026-05-15,13,2027-06-15
3448,Nordre Land,Hamar,Hamar,False,44.1,12435.0,8,2027-01-15,113,2035-10-15
3449,Sør-Aurdal,Hamar,Hamar,False,44.13,13249.0,0,2026-05-15,5,2026-10-15
3450,Etnedal,Hamar,Hamar,False,18.8,6276.0,5,2026-10-15,93,2034-02-15
3451,Nord-Aurdal,Hamar,Hamar,False,38.72,13002.0,6,2026-11-15,101,2034-10-15
3452,Vestre Slidre,Hamar,Kristiansand,True,24.07,11716.0,2,2026-07-15,42,2029-11-15
3453,Øystre Slidre,Hamar,Hamar,False,28.78,7995.0,3,2026-08-15,63,2031-08-15
3454,Vang,Hamar,Hamar,False,35.62,8187.0,1,2026-06-15,31,2028-12-15
3901,Horten,Skien,Skien,False,3.67,2273.0,8,2027-01-15,117,2036-02-15
3903,Holmestrand,Skien,Skien,False,21.87,8664.0,8,2027-01-15,115,2035-12-15
3905,Tønsberg,Skien,Bergen,True,18.23,10065.0,8,2027-01-15,114,2035-11-15
3907,Sandefjord,Skien,Tromsø,True,24.23,13753.0,9,2027-02-15,118,2036-03-15
3909,Larvik,Skien,Trondheim,True,39.47,20251.0,8,2027-01-15,113,2035-10-15
3911,Færder,Skien,Skien,False,6.28,5132.0,8,2027-01-15,117,2036-02-15
4001,Porsgrunn,Skien,Skien,False,11.57,7351.0,8,2027-01-15,116,2036-01-15
4003,Skien,Skien,Bodø,True,31.73,11644.0,8,2027-01-15,114,2035-11-15
4005,Notodden,Skien,Skien,False,30.73,8977.0,1,2026-06-15,30,2028-11-15
4010,Siljan,Skien,Molde,True,8.78,2674.0,2,2026-07-15,50,2030-07-15
4012,Bamble,Skien,Skien,False,10.83,5868.0,8,2027-01-15,117,2036-02-15
4014,Kragerø,Skien,Skien,False,13.88,8153.0,8,2027-01-15,115,2035-12-15
4016,Drangedal,Skien,Trondheim,True,32.68,9597.0,8,2027-01-15,115,2035-12-15
4018,Nome,Skien,Kristiansand,True,14.85,4661.0,8,2027-01-15,117,2036-02-15
4022,Seljord,Skien,Stavanger,True,27.38,9972.0,3,2026-08-15,60,2031-05-15
4024,Hjartdal,Skien,Oslo,True,23.9,8171.0,4,2026-09-15,76,2032-09-15
4026,Tinn,Skien,Hamar,True,58.88,13385.0,4,2026-09-15,70,2032-03-15
4028,Kviteseid,Skien,Skien,False,20.42,5611.0,3,2026-08-15,65,2031-10-15
4030,Nissedal,Skien,Bodø,True,23.0,6540.0,4,2026-09-15,78,2032-11-15
4032,Fyresdal,Skien,Bergen,True,26.6,5047.0,8,2027-01-15,117,2036-02-15
4034,Tokke,Skien,Oslo,True,27.02,6401.0,8,2027-01-15,116,2036-01-15
4036,Vinje,Skien,Stavanger,True,64.47,12380.0,9,2027-02-15,119,2036-04-15
4201,Risør,Kristiansand,Kristiansand,False,11.55,7458.0,3,2026-08-15,63,2031-08-15
4202,Grimstad,Kristiansand,Trondheim,True,11.83,6512.0,4,2026-09-15,78,2032-11-15
4203,Arendal,Kristiansand,Kristiansand,False,21.03,18178.0,6,2026-11-15,100,2034-09-15
4204,Kristiansand,Kristiansand,Kristiansand,False,41.0,27939.0,5,2026-10-15,85,2033-06-15
4205,Lindesnes,Kristiansand,Molde,True,56.22,30608.0,5,2026-10-15,83,2033-04-15
4206,Farsund,Kristiansand,Bergen,True,12.6,8160.0,3,2026-08-15,62,2031-07-15
4207,Flekkefjord,Kristiansand,Kristiansand,False,21.62,10002.0,2,2026-07-15,44,2030-01-15
4211,Gjerstad,Kristiansand,Kristiansand,False,0.78,5328.0,4,2026-09-15,80,2033-01-15
4212,Vegårshei,Kristiansand,Kristiansand,False,19.25,8548.0,3,2026-08-15,61,2031-06-15
4213,Tvedestrand,Kristiansand,Kristiansand,False,14.6,8806.0,4,2026-09-15,76,2032-09-15
4214,Froland,Kristiansand,Oslo,True,1.01,6254.0,4,2026-09-15,78,2032-11-15
4215,Lillesand,Kristiansand,Bodø,True,9.43,6111.0,3,2026-08-15,64,2031-09-15
4216,Birkenes,Kristiansand,Oslo,True,26.37,10577.0,0,2026-05-15,7,2026-12-15
4217,Åmli,Kristiansand,Kristiansand,False,31.8,8190.0,3,2026-08-15,62,2031-07-15
4218,Iveland,Kristiansand,Kristiansand,False,2.01,3446.0,3,2026-08-15,67,2031-12-15
4219,Evje og Hornnes,Kristiansand,Kristiansand,False,20.05,7758.0,6,2026-11-15,105,2035-02-15
4220,Bygland,Kristiansand,Kristiansand,False,29.77,7574.0,3,2026-08-15,63,2031-08-15
4221,Valle,Kristiansand,Kristiansand,False,29.77,7136.0,4,2026-09-15,77,2032-10-15
4222,Bykle,Kristiansand,Bergen,True,23.13,4958.0,5,2026-10-15,95,2034-04-15
4223,Vennesla,Kristiansand,Kristiansand,False,2.02,10530.0,6,2026-11-15,102,2034-11-15
4224,Åseral,Kristiansand,Kristiansand,False,19.07,5558.0,5,2026-10-15,94,2034-03-15
4225,Lyngdal,Kristiansand,Kristiansand,False,27.52,13449.0,5,2026-10-15,86,2033-07-15
4227,Kvinesdal,Kristiansand,Trondheim,True,29.9,10186.0,2,2026-07-15,43,2029-12-15
4228,Sirdal,Kristiansand,Kristiansand,False,31.2,8126.0,2,2026-07-15,46,2030-03-15
4601,Bergen,Bergen,Bergen,False,30.6,30466.0,0,2026-05-15,1,2026-06-15
4602,Kinn,Bergen,Bergen,False,22.67,9385.0,1,2026-06-15,30,2028-11-15
4611,Etne,Bergen,Bergen,False,24.95,10118.0,3,2026-08-15,59,2031-04-15
4612,Sveio,Bergen,Bergen,False,12.83,8328.0,0,2026-05-15,11,2027-04-15
4613,Bømlo,Bergen,Bergen,False,3.33,6759.0,0,2026-05-15,16,2027-09-15
4614,Stord,Bergen,Bergen,False,8.57,5301.0,0,2026-05-15,19,2027-12-15
4617,Kvinnherad,Bergen,Stavanger,True,28.15,8939.0,5,2026-10-15,90,2033-11-15
4618,Ullensvang,Bergen,Bergen,False,71.77,18650.0,4,2026-09-15,69,2032-02-15
4619,Eidfjord,Bergen,Bergen,False,32.12,5017.0,4,2026-09-15,80,2033-01-15
4620,Ulvik,Bergen,Hamar,True,14.62,2743.0,5,2026-10-15,97,2034-06-15
4621,Voss,Bergen,Bergen,False,60.22,23191.0,3,2026-08-15,53,2030-10-15
4622,Kvam,Bergen,Bergen,False,25.12,11908.0,4,2026-09-15,73,2032-06-15
4623,Samnanger,Bergen,Trondheim,True,7.62,2675.0,5,2026-10-15,97,2034-06-15
4624,Bjørnafjorden,Bergen,Bergen,False,19.98,10297.0,3,2026-08-15,58,2031-03-15
4626,Øygarden,Bergen,Stavanger,True,17.88,11226.0,5,2026-10-15,88,2033-09-15
4627,Askøy,Bergen,Bergen,False,7.28,5218.0,5,2026-10-15,94,2034-03-15
4628,Vaksdal,Bergen,Bergen,False,15.9,4528.0,11,2027-04-15,121,2036-06-15
4630,Osterøy,Bergen,Trondheim,True,14.72,8960.0,10,2027-03-15,120,2036-05-15
4631,Alver,Bergen,Bodø,True,36.83,27783.0,10,2027-03-15,120,2036-05-15
4632,Austrheim,Bergen,Bergen,False,3.73,3305.0,5,2026-10-15,96,2034-05-15
4634,Masfjorden,Bergen,Bergen,False,13.12,4590.0,10,2027-03-15,121,2036-06-15
4635,Gulen,Bergen,Bergen,False,12.15,4082.0,10,2027-03-15,121,2036-06-15
4636,Solund,Bergen,Bodø,True,4.42,1189.0,5,2026-10-15,98,2034-07-15
4637,Hyllestad,Bergen,Bergen,False,8.98,3011.0,5,2026-10-15,96,2034-05-15
4638,Høyanger,Bergen,Skien,True,18.67,3476.0,1,2026-06-15,34,2029-03-15
4639,Vik,Bergen,Bergen,False,21.52,4624.0,2,2026-07-15,49,2030-06-15
4640,Sogndal,Bergen,Bergen,False,34.08,9640.0,0,2026-05-15,9,2027-02-15
4641,Aurland,Bergen,Stavanger,True,29.27,4599.0,2,2026-07-15,49,2030-06-15
4642,Lærdal,Bergen,Trondheim,True,23.97,3598.0,1,2026-06-15,34,2029-03-15
4643,Årdal,Bergen,Bergen,False,18.57,2758.0,5,2026-10-15,97,2034-06-15
4644,Luster,Bergen,Bergen,False,37.81,6200.0,2,2026-07-15,48,2030-05-15
4645,Askvoll,Bergen,Kristiansand,True,11.42,4575.0,5,2026-10-15,95,2034-04-15
4646,Fjaler,Bergen,Bergen,False,11.8,3672.0,5,2026-10-15,96,2034-05-15
4647,Sunnfjord,Bergen,Bergen,False,63.6,22959.0,1,2026-06-15,26,2028-07-15
4648,Bremanger,Bergen,Bergen,False,18.7,4648.0,2,2026-07-15,49,2030-06-15
4649,Stad,Bergen,Bergen,False,29.18,12853.0,1,2026-06-15,29,2028-10-15
4650,Gloppen,Bergen,Tromsø,True,24.5,7841.0,2,2026-07-15,46,2030-03-15
4651,Stryn,Bergen,Bergen,False,30.58,7377.0,0,2026-05-15,15,2027-08-15
5001,Trondheim - Tråante,Trondheim,Oslo,True,29.77,20525.0,6,2026-11-15,99,2034-08-15
5021,Oppdal,Trondheim,Trondheim,False,76.88,37049.0,3,2026-08-15,52,2030-09-15
5025,Rosse - Røros,Trondheim,Trondheim,False,51.28,11912.0,1,2026-06-15,30,2028-11-15
5026,Holtålen,Trondheim,Trondheim,False,28.25,6292.0,3,2026-08-15,64,2031-09-15
5027,Midtre Gauldal,Trondheim,Trondheim,False,49.35,13652.0,0,2026-05-15,4,2026-09-15
5028,Melhus,Trondheim,Trondheim,False,23.92,7720.0,0,2026-05-15,13,2027-06-15
5029,Skaun,Trondheim,Trondheim,False,10.4,4079.0,0,2026-05-15,21,2028-02-15
5032,Selbu,Trondheim,Kristiansand,True,27.87,6104.0,4,2026-09-15,79,2032-12-15
5033,Tydal,Trondheim,Trondheim,False,32.18,9999.0,2,2026-07-15,44,2030-01-15
5034,Meråker,Trondheim,Trondheim,False,30.3,7116.0,4,2026-09-15,77,2032-10-15
5035,Stjørdal,Trondheim,Trondheim,False,37.83,13808.0,3,2026-08-15,57,2031-02-15
5038,Verdal,Trondheim,Kristiansand,True,28.41,9686.0,4,2026-09-15,75,2032-08-15
5041,Snåase - Snåsa,Trondheim,Trondheim,False,41.1,5861.0,5,2026-10-15,93,2034-02-15
