Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,5503,500,1889,2934,3874
Basis_85,5510,500,243,377,502
Basis_85,5512,500,1643,2562,3506
Basis_85,5514,500,1802,2726,3629
Basis_85,5516,500,1915,2967,3924
Basis_85,5518,500,1906,2968,3932
Basis_85,5520,500,1865,2889,3806
Basis_85,5522,500,1902,2953,3910
Basis_85,5524,500,1815,2768,3673
Basis_85,5526,500,1761,2705,3626
Basis_85,5528,500,1836,2810,3727
Basis_85,5530,500,1230,2080,3142
Basis_85,5532,500,1824,2803,3692
Basis_85,5534,500,1622,2551,3455
Basis_85,5536,500,2252,3485,4630
Basis_85,5538,500,247,383,509
Basis_85,5540,500,249,388,514
Basis_85,5542,500,2256,3499,4644
Basis_85,5544,500,1291,2042,2867
Basis_85,5546,500,1592,2441,3314
Basis_85,5601,500,999,1772,2653
Basis_85,5603,500,1451,2231,3090
Basis_85,5605,500,1167,1926,2702
Basis_85,5607,500,1550,2508,3385
Basis_85,5610,500,831,1417,2184
Basis_85,5612,500,583,936,1483
Basis_85,5614,500,1772,2708,3588
Basis_85,5616,500,1787,2727,3623
Basis_85,5618,500,1714,2646,3511
Basis_85,5620,500,2250,3491,4639
Basis_85,5622,500,954,1530,3687
Basis_85,5624,500,1437,2234,3070
Basis_85,5626,500,250,388,515
Basis_85,5628,500,999,1739,2590
Basis_85,5630,500,250,390,517
Basis_85,5632,500,251,391,521
Basis_85,5634,500,254,393,522
Basis_85,5636,500,1564,2463,3372
Middels_90,0301,500,481,1205,2055
Middels_90,1101,500,313,659,1013
Middels_90,1103,500,217,494,831
Middels_90,1106,500,706,1420,2159
Middels_90,1108,500,650,1334,1987
Middels_90,1111,500,318,663,1025
Middels_90,1112,500,315,661,1019
Middels_90,1114,500,314,655,1014
Middels_90,1119,500,222,517,882
Middels_90,1120,500,303,640,987
Middels_90,1121,500,256,552,894
Middels_90,1122,500,208,446,741
Middels_90,1124,500,706,1422,2140
Middels_90,1127,500,706,1425,2161
Middels_90,1130,500,249,530,886
Middels_90,1133,500,174,383,671
Middels_90,1134,500,150,313,532
Middels_90,1135,500,251,559,903
Middels_90,1144,500,709,1437,2161
Middels_90,1145,500,709,1433,2152
Middels_90,1146,500,684,1375,2051
Middels_90,1149,500,699,1390,2106
Middels_90,1151,500,709,1437,2162
Middels_90,1160,500,642,1360,2013
Middels_90,1505,500,341,697,1055
Middels_90,1506,500,388,1713,2608
Middels_90,1508,500,715,1666,2517
Middels_90,1511,500,3,4,5
Middels_90,1514,500,3,5,7
Middels_90,1515,500,4,10,13
Middels_90,1516,500,5,11,17
Middels_90,1517,500,6,12,19
Middels_90,1520,500,10,19,28
Middels_90,1525,500,672,1656,2502
Middels_90,1528,500,844,1723,2552
Middels_90,1531,500,11,21,33
Middels_90,1532,500,12,24,35
Middels_90,1535,500,864,1788,2667
