uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2026,42,Trondheim,0.0,37.5,0.0
2026,42,Bodø,15.87,15.87,1.0
2026,42,Tromsø,25.24,25.24,1.0
2026,43,Oslo,21.63,21.63,1.0
2026,43,Hamar,18.03,18.03,1.0
2026,43,Skien,0.0,28.85,0.0
2026,43,Kristiansand,21.63,21.63,1.0
2026,43,Stavanger,20.19,20.19,1.0
2026,43,Bergen,0.0,28.85,0.0
2026,43,Molde,0.0,18.03,0.0
2026,43,Trondheim,0.0,37.5,0.0
2026,43,Bodø,15.87,15.87,1.0
2026,43,Tromsø,25.24,25.24,1.0
2026,44,Oslo,21.63,21.63,1.0
2026,44,Hamar,18.03,18.03,1.0
2026,44,Skien,0.0,28.85,0.0
2026,44,Kristiansand,21.63,21.63,1.0
2026,44,Stavanger,20.19,20.19,1.0
2026,44,Bergen,0.0,28.85,0.0
2026,44,Molde,0.0,18.03,0.0
2026,44,Trondheim,0.0,37.5,0.0
2026,44,Bodø,15.87,15.87,1.0
2026,44,Tromsø,25.24,25.24,1.0
2026,45,Oslo,21.63,21.63,1.0
2026,45,Hamar,18.03,18.03,1.0
2026,45,Skien,0.0,28.85,0.0
2026,45,Kristiansand,21.63,21.63,1.0
2026,45,Stavanger,12.44,20.19,0.616
2026,45,Bergen,0.0,28.85,0.0
2026,45,Molde,0.0,18.03,0.0
2026,45,Trondheim,0.0,37.5,0.0
2026,45,Bodø,15.87,15.87,1.0
2026,45,Tromsø,25.24,25.24,1.0
2026,46,Oslo,21.63,21.63,1.0
2026,46,Hamar,18.03,18.03,1.0
2026,46,Skien,0.0,28.85,0.0
2026,46,Kristiansand,21.63,21.63,1.0
2026,46,Stavanger,0.0,20.19,0.0
2026,46,Bergen,0.0,28.85,0.0
2026,46,Molde,0.0,18.03,0.0
2026,46,Trondheim,0.0,37.5,0.0
2026,46,Bodø,15.87,15.87,1.0
2026,46,Tromsø,25.24,25.24,1.0
2026,47,Oslo,21.63,21.63,1.0
2026,47,Hamar,18.03,18.03,1.0
2026,47,Skien,0.0,28.85,0.0
2026,47,Kristiansand,21.63,21.63,1.0
2026,47,Stavanger,0.0,20.19,0.0
2026,47,Bergen,0.0,28.85,0.0
2026,47,Molde,0.0,18.03,0.0
2026,47,Trondheim,0.0,37.5,0.0
2026,47,Bodø,15.87,15.87,1.0
2026,47,Tromsø,25.24,25.24,1.0
2026,48,Oslo,21.63,21.63,1.0
2026,48,Hamar,18.03,18.03,1.0
2026,48,Skien,0.0,28.85,0.0
2026,48,Kristiansand,21.63,21.63,1.0
2026,48,Stavanger,0.0,20.19,0.0
2026,48,Bergen,0.0,28.85,0.0
2026,48,Molde,0.0,18.03,0.0
2026,48,Trondheim,0.0,37.5,0.0
2026,48,Bodø,15.87,15.87,1.0
2026,48,Tromsø,25.24,25.24,1.0
2026,49,Oslo,21.63,21.63,1.0
2026,49,Hamar,18.03,18.03,1.0
2026,49,Skien,0.0,28.85,0.0
2026,49,Kristiansand,21.63,21.63,1.0
2026,49,Stavanger,0.0,20.19,0.0
2026,49,Bergen,0.0,28.85,0.0
2026,49,Molde,14.42,18.03,0.8
2026,49,Trondheim,0.0,37.5,0.0
2026,49,Bodø,15.87,15.87,1.0
2026,49,Tromsø,25.24,25.24,1.0
2026,50,Oslo,21.63,21.63,1.0
2026,50,Hamar,18.03,18.03,1.0
2026,50,Skien,0.0,28.85,0.0
2026,50,Kristiansand,6.67,21.63,0.309
2026,50,Stavanger,0.0,20.19,0.0
2026,50,Bergen,0.0,28.85,0.0
2026,50,Molde,18.03,18.03,1.0
2026,50,Trondheim,0.0,37.5,0.0
2026,50,Bodø,15.87,15.87,1.0
2026,50,Tromsø,25.24,25.24,1.0
2026,51,Oslo,21.63,21.63,1.0
2026,51,Hamar,18.03,18.03,1.0
2026,51,Skien,0.0,28.85,0.0
2026,51,Kristiansand,0.0,21.63,0.0
2026,51,Stavanger,0.0,20.19,0.0
2026,51,Bergen,0.0,28.85,0.0
2026,51,Molde,18.03,18.03,1.0
2026,51,Trondheim,0.0,37.5,0.0
2026,51,Bodø,15.87,15.87,1.0
2026,51,Tromsø,25.24,25.24,1.0
2026,52,Oslo,19.0,21.63,0.878
2026,52,Hamar,18.03,18.03,1.0
2026,52,Skien,0.0,28.85,0.0
2026,52,Kristiansand,0.0,21.63,0.0
2026,52,Stavanger,0.0,20.19,0.0
2026,52,Bergen,0.0,28.85,0.0
2026,52,Molde,18.03,18.03,1.0
2026,52,Trondheim,0.0,37.5,0.0
2026,52,Bodø,14.01,15.87,0.883
2026,52,Tromsø,25.24,25.24,1.0
2026,53,Oslo,4.33,21.63,0.2
2026,53,Hamar,18.03,18.03,1.0
2026,53,Skien,5.77,28.85,0.2
2026,53,Kristiansand,0.0,21.63,0.0
2026,53,Stavanger,0.0,20.19,0.0
2026,53,Bergen,0.0,28.85,0.0
2026,53,Molde,4.36,18.03,0.242
2026,53,Trondheim,7.5,37.5,0.2
2026,53,Bodø,0.0,15.87,0.0
2026,53,Tromsø,25.24,25.24,1.0
2027,1,Oslo,21.63,21.63,1.0
2027,1,Hamar,18.03,18.03,1.0
2027,1,Skien,28.85,28.85,1.0
2027,1,Kristiansand,0.0,21.63,0.0
2027,1,Stavanger,0.0,20.19,0.0
2027,1,Bergen,0.0,28.85,0.0
2027,1,Molde,18.03,18.03,1.0
2027,1,Trondheim,37.5,37.5,1.0
2027,1,Bodø,0.0,15.87,0.0
2027,1,Tromsø,25.24,25.24,1.0
2027,2,Oslo,0.51,21.63,0.024
2027,2,Hamar,18.03,18.03,1.0
2027,2,Skien,28.85,28.85,1.0
2027,2,Kristiansand,0.0,21.63,0.0
2027,2,Stavanger,0.0,20.19,0.0
