Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,4016,500,2161,3367,4471
Basis_85,MIP_vektet,4018,500,2036,3204,4248
Basis_85,MIP_vektet,4020,500,153,238,318
Basis_85,MIP_vektet,4022,500,1327,2261,3258
Basis_85,MIP_vektet,4024,500,814,1814,2973
Basis_85,MIP_vektet,4026,500,402,708,1672
Basis_85,MIP_vektet,4028,500,823,1392,1967
Basis_85,MIP_vektet,4030,500,545,1302,2183
Basis_85,MIP_vektet,4032,500,2001,3163,4204
Basis_85,MIP_vektet,4034,500,2097,3286,4326
Basis_85,MIP_vektet,4036,500,2146,3346,4406
Basis_85,MIP_vektet,4201,500,782,1333,1844
Basis_85,MIP_vektet,4202,500,1172,1840,2559
Basis_85,MIP_vektet,4203,500,1665,2680,3605
Basis_85,MIP_vektet,4204,500,1595,2532,3412
Basis_85,MIP_vektet,4205,500,1635,2565,3444
Basis_85,MIP_vektet,4206,500,1053,1754,2386
Basis_85,MIP_vektet,4207,500,1174,1868,2590
Basis_85,MIP_vektet,4211,500,893,1434,1971
Basis_85,MIP_vektet,4212,500,564,1158,1704
Basis_85,MIP_vektet,4213,500,720,1271,1797
Basis_85,MIP_vektet,4214,500,1632,2573,3518
Basis_85,MIP_vektet,4215,500,1263,2194,3079
Basis_85,MIP_vektet,4216,500,699,1668,2792
Basis_85,MIP_vektet,4217,500,387,809,1432
Basis_85,MIP_vektet,4218,500,895,1427,1963
Basis_85,MIP_vektet,4219,500,1718,2696,3588
Basis_85,MIP_vektet,4220,500,430,894,1489
Basis_85,MIP_vektet,4221,500,1129,1806,2566
Basis_85,MIP_vektet,4222,500,1476,2322,3067
Basis_85,MIP_vektet,4223,500,1769,2802,3713
Basis_85,MIP_vektet,4224,500,1718,2687,3574
Basis_85,MIP_vektet,4225,500,1654,2608,3541
Basis_85,MIP_vektet,4226,500,158,245,327
Basis_85,MIP_vektet,4227,500,696,1383,2121
Basis_85,MIP_vektet,4228,500,1117,1795,2469
Basis_85,MIP_vektet,4601,500,2014,3510,4722
Basis_85,MIP_vektet,4602,500,979,3353,4687
Basis_85,MIP_vektet,4611,500,765,1453,2167
Basis_85,MIP_vektet,4612,500,2315,3583,4772
Basis_85,MIP_vektet,4613,500,2330,3608,4791
Basis_85,MIP_vektet,4614,500,2316,3596,4772
Basis_85,MIP_vektet,4615,500,163,252,335
Basis_85,MIP_vektet,4616,500,170,263,349
Basis_85,MIP_vektet,4617,500,1361,2236,3311
Basis_85,MIP_vektet,4618,500,367,622,1126
Basis_85,MIP_vektet,4619,500,643,1272,1956
Basis_85,MIP_vektet,4620,500,1131,1852,2742
Basis_85,MIP_vektet,4621,500,417,755,1378
Basis_85,MIP_vektet,4622,500,752,1473,2120
Basis_85,MIP_vektet,4623,500,1229,1928,2603
Basis_85,MIP_vektet,4624,500,921,1613,2226
Basis_85,MIP_vektet,4625,500,171,265,353
Basis_85,MIP_vektet,4626,500,1502,2451,3486
Basis_85,MIP_vektet,4627,500,1194,1859,2555
Basis_85,MIP_vektet,4628,500,2215,3446,4542
Basis_85,MIP_vektet,4629,500,172,269,355
Basis_85,MIP_vektet,4630,500,2197,3431,4546
Basis_85,MIP_vektet,4631,500,2230,3484,4626
Basis_85,MIP_vektet,4632,500,1224,1922,2600
Basis_85,MIP_vektet,4633,500,173,269,356
Basis_85,MIP_vektet,4634,500,2207,3447,4564
Basis_85,MIP_vektet,4635,500,2215,3445,4569
Basis_85,MIP_vektet,4636,500,1487,2426,3244
Basis_85,MIP_vektet,4637,500,1161,1835,2530
Basis_85,MIP_vektet,4638,500,977,2956,4429
Basis_85,MIP_vektet,4639,500,1020,3397,4717
Basis_85,MIP_vektet,4640,500,607,1285,4336
Basis_85,MIP_vektet,4641,500,2245,3521,4670
Basis_85,MIP_vektet,4642,500,1047,3283,4520
Basis_85,MIP_vektet,4643,500,957,1602,2232
Basis_85,MIP_vektet,4644,500,537,1110,4046
Basis_85,MIP_vektet,4645,500,842,1337,1880
Basis_85,MIP_vektet,4646,500,1136,1776,2429
Basis_85,MIP_vektet,4647,500,369,698,1263
Basis_85,MIP_vektet,4648,500,1224,3498,4738
Basis_85,MIP_vektet,4649,500,660,2578,4478
Basis_85,MIP_vektet,4650,500,1297,3462,4644
Basis_85,MIP_vektet,4651,500,704,2380,4389
Basis_85,MIP_vektet,5001,500,548,1394,2665
Basis_85,MIP_vektet,5006,500,187,291,385
Basis_85,MIP_vektet,5007,500,195,304,403
Basis_85,MIP_vektet,5014,500,200,312,413
Basis_85,MIP_vektet,5020,500,202,314,418
Basis_85,MIP_vektet,5021,500,355,595,1225
Basis_85,MIP_vektet,5022,500,210,327,434
Basis_85,MIP_vektet,5025,500,412,837,1645
Basis_85,MIP_vektet,5026,500,782,1390,2072
Basis_85,MIP_vektet,5027,500,475,3123,4283
Basis_85,MIP_vektet,5028,500,2053,3281,4351
Basis_85,MIP_vektet,5029,500,2112,3307,4383
Basis_85,MIP_vektet,5031,500,214,332,440
Basis_85,MIP_vektet,5032,500,446,908,1498
Basis_85,MIP_vektet,5033,500,681,1298,1966
Basis_85,MIP_vektet,5034,500,751,1344,1981
Basis_85,MIP_vektet,5035,500,530,1090,1867
Basis_85,MIP_vektet,5036,500,215,335,445
Basis_85,MIP_vektet,5037,500,227,353,468
Basis_85,MIP_vektet,5038,500,426,887,1525
Basis_85,MIP_vektet,5041,500,544,1017,1670
Basis_85,MIP_vektet,5042,500,500,1063,1900
Basis_85,MIP_vektet,5043,500,1115,1733,2414
Basis_85,MIP_vektet,5044,500,829,1364,1987
Basis_85,MIP_vektet,5045,500,835,1460,2093
Basis_85,MIP_vektet,5046,500,1175,1828,2540
Basis_85,MIP_vektet,5047,500,1041,1728,2433
Basis_85,MIP_vektet,5049,500,1236,1929,2630
Basis_85,MIP_vektet,5052,500,228,354,469
Basis_85,MIP_vektet,5053,500,1024,1693,2447
Basis_85,MIP_vektet,5054,500,558,1174,1972
Basis_85,MIP_vektet,5055,500,702,1329,2205
Basis_85,MIP_vektet,5056,500,916,1640,2370
Basis_85,MIP_vektet,5057,500,230,360,476
Basis_85,MIP_vektet,5058,500,412,847,1489
Basis_85,MIP_vektet,5059,500,373,2988,4193
Basis_85,MIP_vektet,5060,500,237,370,490
Basis_85,MIP_vektet,5061,500,1047,1761,2387
Basis_85,MIP_vektet,5501,500,2196,3602,4837
Basis_85,MIP_vektet,5503,500,1591,2491,3357
Basis_85,MIP_vektet,5510,500,243,377,502
Basis_85,MIP_vektet,5512,500,1018,1680,2350
Basis_85,MIP_vektet,5514,500,1301,2056,2772
Basis_85,MIP_vektet,5516,500,1636,2572,3450
Basis_85,MIP_vektet,5518,500,1648,2605,3569
Basis_85,MIP_vektet,5520,500,1538,2409,3245
Basis_85,MIP_vektet,5522,500,1640,2564,3413
Basis_85,MIP_vektet,5524,500,1346,2090,2849
Basis_85,MIP_vektet,5526,500,1273,1987,2687
Basis_85,MIP_vektet,5528,500,1389,2176,2933
Basis_85,MIP_vektet,5530,500,391,826,1607
Basis_85,MIP_vektet,5532,500,1383,2152,2871
Basis_85,MIP_vektet,5534,500,480,1074,2092
Basis_85,MIP_vektet,5536,500,1139,1792,2835
Basis_85,MIP_vektet,5538,500,247,383,509
Basis_85,MIP_vektet,5540,500,249,388,514
Basis_85,MIP_vektet,5542,500,1461,2353,4357
Basis_85,MIP_vektet,5544,500,625,1068,1643
Basis_85,MIP_vektet,5546,500,948,1515,2180
Basis_85,MIP_vektet,5601,500,369,650,1075
Basis_85,MIP_vektet,5603,500,724,1235,1860
Basis_85,MIP_vektet,5605,500,891,1569,2596
Basis_85,MIP_vektet,5607,500,747,1499,2436
Basis_85,MIP_vektet,5610,500,387,652,1083
Basis_85,MIP_vektet,5612,500,566,925,1579
Basis_85,MIP_vektet,5614,500,1259,1963,2681
Basis_85,MIP_vektet,5616,500,1298,2057,2777
Basis_85,MIP_vektet,5618,500,1153,1783,2518
Basis_85,MIP_vektet,5620,500,1210,1877,2864
Basis_85,MIP_vektet,5622,500,418,693,1092
Basis_85,MIP_vektet,5624,500,732,1224,1827
Basis_85,MIP_vektet,5626,500,250,388,515
Basis_85,MIP_vektet,5628,500,360,638,1074
Basis_85,MIP_vektet,5630,500,250,390,517
Basis_85,MIP_vektet,5632,500,251,391,521
Basis_85,MIP_vektet,5634,500,254,393,522
Basis_85,MIP_vektet,5636,500,909,1552,2210
Middels_90,MIP_vektet,0301,500,438,1013,1922
Middels_90,MIP_vektet,1101,500,557,1145,1810
