KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
4613,Bømlo,Bergen,Bergen,False,3.33,6759.0,0,2026-05-15,5,2026-10-15
4614,Stord,Bergen,Bergen,False,8.57,5301.0,0,2026-05-15,5,2026-10-15
4617,Kvinnherad,Bergen,Bergen,False,28.15,8939.0,1,2026-06-15,9,2027-02-15
4618,Ullensvang,Bergen,Skien,True,71.77,18650.0,0,2026-05-15,0,2026-05-15
4619,Eidfjord,Bergen,Bergen,False,32.12,5017.0,3,2026-08-15,18,2027-11-15
4620,Ulvik,Bergen,Bergen,False,14.62,2743.0,3,2026-08-15,18,2027-11-15
4621,Voss,Bergen,Bergen,False,60.22,23191.0,3,2026-08-15,15,2027-08-15
4622,Kvam,Bergen,Bergen,False,25.12,11908.0,4,2026-09-15,20,2028-01-15
4623,Samnanger,Bergen,Bergen,False,7.62,2675.0,4,2026-09-15,23,2028-04-15
4624,Bjørnafjorden,Bergen,Bergen,False,19.98,10297.0,4,2026-09-15,21,2028-02-15
4626,Øygarden,Bergen,Bergen,False,17.88,11226.0,4,2026-09-15,21,2028-02-15
4627,Askøy,Bergen,Bergen,False,7.28,5218.0,4,2026-09-15,23,2028-04-15
4628,Vaksdal,Bergen,Bergen,False,15.9,4528.0,10,2027-03-15,32,2029-01-15
4630,Osterøy,Bergen,Bergen,False,14.72,8960.0,10,2027-03-15,32,2029-01-15
4631,Alver,Bergen,Bergen,False,36.83,27783.0,10,2027-03-15,32,2029-01-15
4632,Austrheim,Bergen,Bergen,False,3.73,3305.0,4,2026-09-15,23,2028-04-15
4634,Masfjorden,Bergen,Bergen,False,13.12,4590.0,10,2027-03-15,32,2029-01-15
4635,Gulen,Bergen,Bergen,False,12.15,4082.0,10,2027-03-15,32,2029-01-15
4636,Solund,Bergen,Bergen,False,4.42,1189.0,3,2026-08-15,18,2027-11-15
4637,Hyllestad,Bergen,Bergen,False,8.98,3011.0,4,2026-09-15,23,2028-04-15
4638,Høyanger,Bergen,Bergen,False,18.67,3476.0,2,2026-07-15,14,2027-07-15
4639,Vik,Bergen,Bergen,False,21.52,4624.0,2,2026-07-15,14,2027-07-15
4640,Sogndal,Bergen,Bergen,False,34.08,9640.0,2,2026-07-15,13,2027-06-15
